phase,domain,delta,capacity,policy,n_layer_domain_scopes,mean_residual_cold_expert_fraction,mean_expert_stall_work_reduction,mean_complete_resident_set_hit_coverage,mean_runtime_movement_experts_per_wave,mean_runtime_movement_mib_per_wave,mean_useful_movement_mib_per_wave,mean_wasted_movement_mib_per_wave,mean_useful_movement_fraction,mean_evictions_per_wave,mean_resident_replacement_fraction,mean_expert_oracle_recovery_over_lru,mean_wave_oracle_recovery_over_lru
decode,__domain_balanced__,1,8,domain,60,0.6925305886243386,0.3074694113756614,0.000496031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09819856595466152,0.01518939393939394
decode,__domain_balanced__,1,8,linear,60,0.6674189814814814,0.3325810185185185,0.0006283068783068783,0.8845899470899471,10.615079365079366,6.268253968253968,4.3468253968253965,0.5904195549424092,0.8845899470899471,0.11057374338624339,0.049600572841747806,0.031691919191919195
decode,__domain_balanced__,1,8,lru,60,0.6751281415343916,0.3248718584656085,0.00036375661375661375,0.9996362433862434,11.99563492063492,7.307539682539683,4.688095238095238,0.609171535822272,0.9996362433862434,0.12495453042328042,0.0,0.0
decode,__domain_balanced__,1,8,oracle,60,0.5133391203703703,0.4866608796296296,0.0065145502645502645,0.8970238095238094,10.764285714285714,10.18611111111111,0.5781746031746031,0.945297464954275,0.8970238095238094,0.11212797619047618,1.0,0.75
decode,__domain_balanced__,1,8,static,60,0.7575686177248677,0.24243138227513228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49930531918083815,-0.021508506113769272
decode,__domain_balanced__,1,8,transition,60,0.689885085978836,0.31011491402116403,0.000992063492063492,0.7801256613756614,9.361507936507936,5.018650793650793,4.3428571428571425,0.5382993701745821,0.7801256613756614,0.09751570767195768,-0.08280200179320585,0.0666593567251462
decode,__domain_balanced__,1,16,domain,60,0.5066468253968254,0.49335317460317457,0.029629629629629627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05830199484643713,0.01215129220967346
decode,__domain_balanced__,1,16,linear,60,0.5014260912698413,0.4985739087301587,0.028273809523809524,0.9302248677248677,11.162698412698413,7.405952380952381,3.7567460317460317,0.6625921753012151,0.9302248677248677,0.05813905423280423,-0.03853861694401624,0.03549487621356759
decode,__domain_balanced__,1,16,lru,60,0.4936797288359788,0.5063202711640211,0.024636243386243387,0.9753637566137566,11.70436507936508,8.188492063492063,3.5158730158730163,0.6989218980367975,0.9753637566137566,0.06096023478835979,0.0,0.0
decode,__domain_balanced__,1,16,oracle,60,0.32136243386243385,0.6786375661375661,0.10651455026455027,0.8030753968253969,9.636904761904761,9.167857142857143,0.46904761904761905,0.9501424418124363,0.8030753968253969,0.050192212301587304,1.0,1.0
decode,__domain_balanced__,1,16,static,60,0.5901124338624338,0.40988756613756616,0.005919312169312169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5662780938806756,-0.1791658366017899
decode,__domain_balanced__,1,16,transition,60,0.5101645171957672,0.4898354828042328,0.031051587301587302,0.8346230158730158,10.01547619047619,5.996825396825397,4.018650793650794,0.5964227262381189,0.8346230158730158,0.05216393849206349,-0.0811987055548052,0.04236169397165721
decode,__domain_balanced__,1,32,domain,60,0.24615575396825398,0.7538442460317459,0.19937169312169312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16768336433370978,-0.12613179033436936
decode,__domain_balanced__,1,32,linear,60,0.2622643849206349,0.7377356150793651,0.20244708994708996,0.774537037037037,9.294444444444444,6.8769841269841265,2.4174603174603173,0.737515255219696,0.774537037037037,0.024204282407407407,-0.326567246695838,-0.13343110722995058
decode,__domain_balanced__,1,32,lru,60,0.2269758597883598,0.7730241402116402,0.23597883597883598,0.764021164021164,9.168253968253968,7.0095238095238095,2.1587301587301586,0.7609718567345792,0.764021164021164,0.023875661375661376,0.0,0.0
decode,__domain_balanced__,1,32,oracle,60,0.11413690476190476,0.8858630952380953,0.4803902116402117,0.4522486772486773,5.426984126984126,5.171825396825397,0.25515873015873014,0.9509607038391926,0.4522486772486773,0.014132771164021165,1.0,1.0
decode,__domain_balanced__,1,32,static,60,0.3278480489417989,0.672151951058201,0.09837962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9876695047730798,-0.5721346772452557
decode,__domain_balanced__,1,32,transition,60,0.2472718253968254,0.7527281746031745,0.22037037037037036,0.6636574074074074,7.963888888888889,5.145634920634921,2.8182539682539685,0.6414219968860038,0.6636574074074074,0.020739293981481482,-0.17141887200500605,-0.05371149384617306
decode,__domain_balanced__,2,8,domain,56,0.6883459112811792,0.3116540887188209,0.0005314625850340135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10187489043389995,0.01627435064935065
decode,__domain_balanced__,2,8,linear,56,0.6622378117913833,0.3377621882086168,0.0007086167800453515,0.8816255668934241,10.579506802721088,6.324829931972789,4.254676870748299,0.5973992101992722,0.8816255668934241,0.11020319586167801,0.05118989991078685,0.029037081339712917
decode,__domain_balanced__,2,8,lru,56,0.6703027565192744,0.32969724348072565,0.0003897392290249433,0.999610260770975,11.9953231292517,7.321003401360544,4.674319727891157,0.6103085049342937,0.999610260770975,0.12495128259637188,0.0,0.0
decode,__domain_balanced__,2,8,oracle,56,0.5085698341836735,0.49143016581632654,0.006944444444444443,0.8925736961451246,10.710884353741497,10.113520408163266,0.5973639455782312,0.9433329060760404,0.8925736961451246,0.11157171201814058,1.0,0.7857142857142857
decode,__domain_balanced__,2,8,static,56,0.7560896754535147,0.24391032454648526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5201342715255673,-0.023044827979038507
decode,__domain_balanced__,2,8,transition,56,0.6885407808956916,0.31145921910430835,0.0007794784580498865,0.7581136621315193,9.097363945578232,4.941751700680272,4.155612244897959,0.5470389872624132,0.7581136621315193,0.09476420776643991,-0.10371727245609773,0.031377449305080886
decode,__domain_balanced__,2,16,domain,56,0.5008769132653061,0.4991230867346939,0.03139172335600907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06702742365146937,-7.599644201653097e-05
decode,__domain_balanced__,2,16,linear,56,0.4927942531179138,0.5072057468820862,0.031285430839002266,0.9252054988662132,11.102465986394558,7.394557823129252,3.707908163265306,0.6648992333515388,0.9252054988662132,0.05782534367913832,-0.0325997581743312,0.045399282824650354
decode,__domain_balanced__,2,16,lru,56,0.48612882653061223,0.5138711734693878,0.026360544217687073,0.9736394557823129,11.683673469387756,8.173044217687075,3.5106292517006805,0.698790835831544,0.9736394557823129,0.06085246598639456,0.0,0.0
decode,__domain_balanced__,2,16,oracle,56,0.31547176162131524,0.6845282383786848,0.11277636054421769,0.7936862244897959,9.52423469387755,9.04294217687075,0.4812925170068027,0.9485083562641581,0.7936862244897959,0.04960538903061224,1.0,1.0
decode,__domain_balanced__,2,16,static,56,0.5872838718820861,0.4127161281179138,0.006342120181405895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5957149848561553,-0.19017768207334632
decode,__domain_balanced__,2,16,transition,56,0.5061251062925171,0.493874893707483,0.03259637188208617,0.8133149092970521,9.759778911564625,5.860119047619048,3.8996598639455784,0.5982383060802643,0.8133149092970521,0.050832181831065755,-0.10173323173525335,0.04349340999198744
decode,__domain_balanced__,2,32,domain,56,0.23972505668934238,0.7602749433106576,0.209608843537415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18494554116231693,-0.1427303358744835
decode,__domain_balanced__,2,32,linear,56,0.2558815192743764,0.7441184807256235,0.2135062358276644,0.7618693310657596,9.142431972789115,6.7602040816326525,2.3822278911564623,0.7366176347756644,0.7618693310657596,0.023808416595804988,-0.35638232004201476,-0.14570821587952706
decode,__domain_balanced__,2,32,lru,56,0.2183026856575964,0.7816973143424036,0.2502125850340136,0.7497874149659864,8.997448979591836,6.855442176870748,2.1420068027210886,0.7587044656229835,0.7497874149659864,0.023430856717687076,0.0,0.0
decode,__domain_balanced__,2,32,oracle,56,0.1095610119047619,0.8904389880952381,0.4984764739229025,0.43406320861678005,5.208758503401361,4.956632653061225,0.25212585034013607,0.9499879559542734,0.43406320861678005,0.013564475269274377,1.0,1.0
decode,__domain_balanced__,2,32,static,56,0.3240725977891156,0.6759274022108844,0.10267857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.04418200418962,-0.6145147604911166
decode,__domain_balanced__,2,32,transition,56,0.24217864229024944,0.7578213577097506,0.2210175736961451,0.6454790249433107,7.745748299319728,4.980017006802721,2.765731292517007,0.638805480350905,0.6454790249433107,0.020171219529478458,-0.20914543370592634,-0.10696414196797001
decode,__domain_balanced__,3,8,domain,52,0.6844331883394383,0.31556681166056166,0.0005723443223443223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09724685250826168,0.017526223776223777
decode,__domain_balanced__,3,8,linear,52,0.6580194978632478,0.34198050213675213,0.000496031746031746,0.8725961538461539,10.471153846153847,6.195512820512821,4.2756410256410255,0.590714086876988,0.8725961538461539,0.10907451923076923,0.05732999937226793,0.011589068825910931
decode,__domain_balanced__,3,8,lru,52,0.6671865460927962,0.33281345390720396,0.0004197191697191697,0.9995802808302808,11.994963369963369,7.270604395604395,4.7243589743589745,0.6061258868767363,0.9995802808302808,0.1249475351037851,0.0,0.0
decode,__domain_balanced__,3,8,oracle,52,0.5056900564713065,0.4943099435286935,0.00744047619047619,0.8876678876678876,10.652014652014653,10.026098901098901,0.625915750915751,0.940509787930844,0.8876678876678876,0.11095848595848595,1.0,0.8269230769230769
decode,__domain_balanced__,3,8,static,52,0.7530286553724055,0.24697134462759462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.52114381217911,-0.02481750705434916
decode,__domain_balanced__,3,8,transition,52,0.6865937881562882,0.31340621184371187,0.0008394383394383394,0.7310363247863247,8.772435897435898,4.762820512820513,4.009615384615385,0.5481497153317604,0.7310363247863247,0.09137954059829059,-0.1122470733144893,0.04581876456876456
decode,__domain_balanced__,3,16,domain,52,0.4950015262515262,0.5049984737484737,0.033768315018315016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061983228122695695,0.0030411031084660893
decode,__domain_balanced__,3,16,linear,52,0.488352793040293,0.511647206959707,0.03460775335775336,0.919757326007326,11.037087912087912,7.327838827838828,3.7092490842490844,0.6625314192566487,0.919757326007326,0.05748483287545787,-0.036813517050957284,0.06216467238957684
decode,__domain_balanced__,3,16,lru,52,0.4812748015873016,0.5187251984126984,0.028235653235653232,0.9717643467643468,11.661172161172162,8.13507326007326,3.526098901098901,0.6968872413069656,0.9717643467643468,0.06073527167277167,0.0,0.0
decode,__domain_balanced__,3,16,oracle,52,0.312304449023199,0.687695550976801,0.11817002442002442,0.785866910866911,9.43040293040293,8.938186813186814,0.4922161172161172,0.9469879437476046,0.785866910866911,0.049116681929181935,1.0,1.0
decode,__domain_balanced__,3,16,static,52,0.5832045558608059,0.4167954441391941,0.006791819291819291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6059189542479957,-0.20332744459969837
decode,__domain_balanced__,3,16,transition,52,0.502446771978022,0.49755322802197804,0.03430250305250305,0.7945283882783882,9.534340659340659,5.7339743589743595,3.8003663003663,0.5998161823270511,0.7945283882783882,0.049658024267399264,-0.1114075613878418,0.03970966499419315
decode,__domain_balanced__,3,32,domain,52,0.23503319597069597,0.7649668040293041,0.2196657509157509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19402192485417125,-0.15095551156166048
decode,__domain_balanced__,3,32,linear,52,0.25,0.75,0.22371031746031747,0.7522130647130647,9.026556776556777,6.6826923076923075,2.343864468864469,0.7374426630612638,0.7522130647130647,0.023506658272283272,-0.3601738218500244,-0.15353186977966005
decode,__domain_balanced__,3,32,lru,52,0.21280715811965814,0.7871928418803419,0.2625915750915751,0.737408424908425,8.848901098901099,6.737637362637362,2.1112637362637363,0.7580909986937863,0.737408424908425,0.02304401327838828,0.0,0.0
decode,__domain_balanced__,3,32,oracle,52,0.10699500152625152,0.8930049984737484,0.5110653235653235,0.42235195360195366,5.068223443223443,4.820054945054945,0.24816849816849818,0.9495264221517264,0.42235195360195366,0.013198498550061052,1.0,1.0
decode,__domain_balanced__,3,32,static,52,0.3203125,0.6796875,0.1082493894993895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0792431774061328,-0.6440423059257976
decode,__domain_balanced__,3,32,transition,52,0.24014136904761904,0.7598586309523809,0.225503663003663,0.6251526251526252,7.501831501831502,4.822344322344322,2.6794871794871797,0.637522100753495,0.6251526251526252,0.019536019536019536,-0.25210835719902663,-0.13909884763968697
