capacity,lookahead,bandwidth_scale,eligible_waves,cold_demand_experts,mean_cold_experts_per_wave,available_lead_time_ms,measured_expert_transfer_ms,cold_service_headroom,cold_service_pressure,first_order_oracle_stall_reduction,candidate_transfer_amplification,required_benefit,minimum_complete_cold_set_coverage,maximum_profitable_amplification,inverse_window_exists,empty_window_reason
8,1,0.25,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.06254428902969435,15.98867003708727,0.06254428902969435,1.0,0.25,,,False,insufficient_cold_service_headroom
8,1,0.25,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.06254428902969435,15.98867003708727,0.06254428902969435,2.0,0.25,,,False,insufficient_cold_service_headroom
8,1,0.25,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.06254428902969435,15.98867003708727,0.06254428902969435,4.0,0.25,,,False,speculative_traffic_gate
8,1,0.5,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.1250885780593887,7.994335018543635,0.1250885780593887,1.0,0.25,,,False,insufficient_cold_service_headroom
8,1,0.5,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.1250885780593887,7.994335018543635,0.1250885780593887,2.0,0.25,,,False,insufficient_cold_service_headroom
8,1,0.5,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.1250885780593887,7.994335018543635,0.1250885780593887,4.0,0.25,,,False,speculative_traffic_gate
8,1,1.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.2501771561187774,3.9971675092718173,0.2501771561187774,1.0,0.25,0.25,1.0007086244751096,True,
8,1,1.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.2501771561187774,3.9971675092718173,0.2501771561187774,2.0,0.25,,1.0007086244751096,False,insufficient_cold_service_headroom
8,1,1.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.2501771561187774,3.9971675092718173,0.2501771561187774,4.0,0.25,,1.0007086244751096,False,speculative_traffic_gate
8,1,2.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.5003543122375548,1.9985837546359086,0.5003543122375548,1.0,0.2501771561187774,0.2501771561187774,2.0,True,
8,1,2.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.5003543122375548,1.9985837546359086,0.5003543122375548,2.0,0.2501771561187774,0.2501771561187774,2.0,True,
8,1,2.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,0.5003543122375548,1.9985837546359086,0.5003543122375548,4.0,0.2501771561187774,,2.0,False,speculative_traffic_gate
8,1,4.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,1.0007086244751096,0.9992918773179543,1.0,1.0,0.5,0.5,2.0,True,
8,1,4.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,1.0007086244751096,0.9992918773179543,1.0,2.0,0.5,0.5,2.0,True,
8,1,4.0,120165,585911,4.875887321599468,0.6393109858036041,0.5240960121154785,1.0007086244751096,0.9992918773179543,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,2,0.25,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.1265582280642569,7.901501271748796,0.1265582280642569,1.0,0.25,,,False,insufficient_cold_service_headroom
8,2,0.25,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.1265582280642569,7.901501271748796,0.1265582280642569,2.0,0.25,,,False,insufficient_cold_service_headroom
8,2,0.25,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.1265582280642569,7.901501271748796,0.1265582280642569,4.0,0.25,,,False,speculative_traffic_gate
8,2,0.5,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.2531164561285138,3.950750635874398,0.2531164561285138,1.0,0.25,0.25,1.0124658245140552,True,
8,2,0.5,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.2531164561285138,3.950750635874398,0.2531164561285138,2.0,0.25,,1.0124658245140552,False,insufficient_cold_service_headroom
8,2,0.5,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.2531164561285138,3.950750635874398,0.2531164561285138,4.0,0.25,,1.0124658245140552,False,speculative_traffic_gate
8,2,1.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.5062329122570276,1.975375317937199,0.5062329122570276,1.0,0.2531164561285138,0.2531164561285138,2.0,True,
8,2,1.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.5062329122570276,1.975375317937199,0.5062329122570276,2.0,0.2531164561285138,0.2531164561285138,2.0,True,
8,2,1.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,0.5062329122570276,1.975375317937199,0.5062329122570276,4.0,0.2531164561285138,,2.0,False,speculative_traffic_gate
8,2,2.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,1.0124658245140552,0.9876876589685994,1.0,1.0,0.5,0.5,2.0,True,
8,2,2.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,1.0124658245140552,0.9876876589685994,1.0,2.0,0.5,0.5,2.0,True,
8,2,2.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,1.0124658245140552,0.9876876589685994,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,2,4.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,2.0249316490281104,0.4938438294842997,1.0,1.0,0.5,0.5,2.0,True,
8,2,4.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,2.0249316490281104,0.4938438294842997,1.0,2.0,0.5,0.5,2.0,True,
8,2,4.0,112154,540500,4.819266365889758,1.2786219716072083,0.5240960121154785,2.0249316490281104,0.4938438294842997,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
8,3,0.25,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.19063226494029778,5.245701719555082,0.19063226494029778,1.0,0.25,,,False,insufficient_cold_service_headroom
8,3,0.25,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.19063226494029778,5.245701719555082,0.19063226494029778,2.0,0.25,,,False,insufficient_cold_service_headroom
8,3,0.25,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.19063226494029778,5.245701719555082,0.19063226494029778,4.0,0.25,,,False,speculative_traffic_gate
8,3,0.5,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.38126452988059556,2.622850859777541,0.38126452988059556,1.0,0.25,0.25,1.5250581195223822,True,
8,3,0.5,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.38126452988059556,2.622850859777541,0.38126452988059556,2.0,0.25,,1.5250581195223822,False,insufficient_cold_service_headroom
8,3,0.5,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.38126452988059556,2.622850859777541,0.38126452988059556,4.0,0.25,,1.5250581195223822,False,speculative_traffic_gate
8,3,1.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.7625290597611911,1.3114254298887704,0.7625290597611911,1.0,0.38126452988059556,0.38126452988059556,2.0,True,
8,3,1.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.7625290597611911,1.3114254298887704,0.7625290597611911,2.0,0.38126452988059556,0.38126452988059556,2.0,True,
8,3,1.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,0.7625290597611911,1.3114254298887704,0.7625290597611911,4.0,0.38126452988059556,,2.0,False,speculative_traffic_gate
8,3,2.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,1.5250581195223822,0.6557127149443852,1.0,1.0,0.5,0.5,2.0,True,
8,3,2.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,1.5250581195223822,0.6557127149443852,1.0,2.0,0.5,0.5,2.0,True,
8,3,2.0,104143,499800,4.799170371508406,1.9179329574108124,0.5240960121154785,1.5250581195223822,0.6557127149443852,1.0,4.0,0.5,,2.0,False,speculative_traffic_gate
