cell,policy,capacity,lookahead,bandwidth_scale,test_requests,eligible_cold_waves,cold_demand_experts,useful_candidate_experts,false_candidate_experts,candidate_transfer_experts,cold_expert_coverage,complete_cold_set_coverage,candidate_transfer_amplification,traffic_gate_excess_factor,required_false_candidate_rejection_for_traffic_gate,candidate_transfer_load_per_cold_expert,cold_service_headroom,proportional_deadline_service_fraction,first_order_oracle_stall_reduction,modeled_stall_reduction,oracle_recovery,useful_candidate_bytes,false_candidate_bytes,candidate_transfer_bytes,deadline_feasible_useful_bytes,late_useful_bytes,late_candidate_bytes,mean_candidate_replacement_fraction,profitable,category
short_physics_control,transition,32,1,1.0,32,22318,53919,47783,260461,308244,0.8861996698751832,0.7741285061385429,6.450913504802964,3.225456752401482,0.8165445114623686,5.7167974183497465,0.6999405391973497,0.12243577793235845,0.6999405391973497,0.09478102586868702,0.13541296804636616,601249284096,3277357842432,3878607126528,73614423829.56735,527634860266.4326,3403726845697.5547,0.30318452915805555,False,traffic_and_physics_limited
short_physics_control,linear,32,1,1.0,32,22318,53919,48902,271833,320735,0.9069530221257812,0.8093467156555247,6.558729704306573,3.2793648521532863,0.8201027836944006,5.948459726626978,0.6999405391973497,0.11766752594192056,0.6999405391973497,0.09523382566040467,0.1360598798429552,615329562624,3420450717696,4035780280320,72404307272.89015,542925255351.10986,3560899999489.555,0.37811966483960824,False,traffic_and_physics_limited
short_boundary,transition,32,3,1.0,32,18582,43695,38348,211405,249753,0.877629019338597,0.7652028845118932,6.512803796808178,3.256401898404089,0.8186041011328966,5.715825609337453,2.2424686033035406,0.39232628085087345,1.0,0.3002092017769115,0.3002092017769115,482529509376,2660090511360,3142620020736,189309007814.28275,293220501561.7173,1909687595873.1504,0.28466844306529954,False,traffic_and_physics_limited
short_boundary,linear,32,3,1.0,32,18582,43695,39632,225597,265229,0.9070145325552122,0.8146055322354967,6.6922941057731125,3.3461470528865562,0.8243239050164675,6.070008010069802,2.2424686033035406,0.3694342082553122,1.0,0.3009431498418179,0.3009431498418179,498685968384,2838667198464,3337353166848,184231655897.97668,314454312486.0233,2104420741985.1504,0.375055652995143,False,traffic_and_physics_limited
long_linear,transition,32,9,1.0,32,10025,25567,21066,111420,132486,0.8239527515938514,0.6713216957605985,6.289091426943891,3.1445457134719454,0.8109316101238557,5.18191418625572,6.197140215400961,1.0,1.0,0.6713216957605985,0.6713216957605985,265071624192,1401988055040,1667059679232,265071624192.0,0.0,0.0,0.26834925477643295,False,traffic_limited
long_linear,linear,32,9,1.0,32,10025,25567,22485,119860,142345,0.8794539836507999,0.769576059850374,6.3306648877029135,3.1653324438514567,0.8124061404972468,5.567528454648571,6.197140215400961,1.0,1.0,0.769576059850374,0.769576059850374,282926776320,1508187832320,1791114608640,282926776320.0,0.0,0.0,0.3869785935780734,False,traffic_limited
prediction_control,transition,16,9,1.0,32,13219,53368,33809,94641,128450,0.633506970469195,0.2886753914819578,3.7992842142624745,1.8996421071312373,0.6427658203104363,2.406873032528856,2.945982095726217,1.0,1.0,0.2886753914819578,0.2886753914819578,425415671808,1190859374592,1616275046400,425415671808.0,0.0,0.0,0.3939760063679782,False,traffic_and_prediction_limited
prediction_control,linear,16,9,1.0,32,13219,53368,38807,92529,131336,0.7271585969120072,0.42385959603600876,3.3843378771871055,1.6921689385935528,0.5805963535756358,2.4609503822515366,2.945982095726217,1.0,1.0,0.42385959603600876,0.42385959603600876,488305065984,1164284264448,1652589330432,488305065984.0,0.0,0.0,0.549896709877947,False,traffic_and_prediction_limited
