scenario_id,factor_panel,tail_model,capacity_experts_per_layer,resident_fraction,fast_tier_expert_gib,offloaded_expert_gib,lookahead_layers,requested_complete_coverage,realized_complete_coverage,requested_amplification,importance_order,bandwidth_gbps,transfer_concurrency,commit_slack_layer_intervals,fallback_overhead_fraction,bounded_p99_tpot_ms,bounded_batch1_tokens_per_second,reactive_p99_tpot_ms,reactive_batch1_tokens_per_second,exact_wait_wave_local_p99_tpot_ms,mean_missing_routed_mass,p50_missing_routed_mass,p95_missing_routed_mass,p99_missing_routed_mass,worst_missing_routed_mass,mean_raw_missing_router_probability,p99_raw_missing_router_probability,full_fallback_wave_fraction,renormalization_fallback_wave_fraction,degraded_wave_fraction,p50_token_mean_missing_mass,p95_token_mean_missing_mass,p99_token_mean_missing_mass,p99_token_max_layer_missing_mass,maximum_consecutive_degraded_layers,predicted_useful_experts,predicted_false_experts,candidate_experts,realized_candidate_amplification,useful_movement_bytes,wasted_false_movement_bytes,late_inflight_bytes,cancelled_before_start_bytes,candidate_movement_bytes,zero_post_commit_transfer_wait,transfer_induced_post_commit_stall_ms,complete_candidate_fraction,p99_tpot_improvement_vs_reactive,throughput_improvement_vs_reactive,passing_domains,passing_layer_bands,gate_resident_capacity,gate_latency_or_throughput,gate_local_tpot_ratio,gate_p99_missing_mass,gate_full_fallback,gate_domains,gate_layer_bands,gate_pass,evidence_weights_and_demand,evidence_timing,evidence_predictor,evidence_robustness,evidence_hardware
ax4-local-00000,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,64.05555530082663,0.5246004744137296,0.5363169479090242,0.9283103739105988,0.9565039820298141,1.0,0.21170020540947176,0.54736328125,0.006030770190987392,0.013723317937835476,0.9682857945325178,0.5269264210492763,0.8059813358003804,0.8670387339499938,1.0,16,620732,0,620732,1.0,1500399009792,0,1544414035968,4765803085824,7810616131584,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00001,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.5,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,90.78471612781979,0.5910032222445337,0.6074882995319812,1.0,1.0,1.0,0.23811814014481003,0.579345703125,0.07918799151167145,0.08158313568842841,0.9819701036075397,0.5956582756517124,0.8740912883401902,0.9330891586857141,1.0,16,620732,286974,907706,1.4623154598119639,61744349184,1438654660608,1572914331648,8348271378432,11421584719872,True,0.0,0.02474722256896767,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00002,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,2.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,119.61028172555753,0.5942712929431819,0.6074882995319812,1.0,1.0,1.0,0.23950880836598243,0.579345703125,0.07918799151167145,0.08158313568842841,0.9957792410435651,0.5973147383192389,0.8740912883401902,0.9330891586857141,1.0,16,620732,573949,1194681,1.9246325306251328,0,1500399009792,1601200717824,11930966163456,15032565891072,True,0.0,0.007208837847959056,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00003,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,4.0,mass_adversarial,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,234.91254411650846,0.5942712929431819,0.6074882995319812,1.0,1.0,1.0,0.23950880836598243,0.579345703125,0.07918799151167145,0.08158313568842841,0.9957792410435651,0.5973147383192389,0.8740912883401902,0.9330891586857141,1.0,16,620732,1721847,2342579,3.7738975918753987,0,1500399009792,1601200717824,26374865682432,29476465410048,True,0.0,0.007208837847959056,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00004,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,64.05555530082663,0.42598730872829854,0.4217557251908397,0.809660908509277,0.9217796914244708,1.0,0.17040524466655896,0.4462890625,0.006030770190987392,0.006436462364249157,0.9682857945325178,0.4217707702528946,0.6799652219346177,0.740375286842399,1.0,16,620732,0,620732,1.0,1500399009792,0,1544414035968,4765803085824,7810616131584,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00005,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.5,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,90.78471612781979,0.42598730872829854,0.4217557251908397,0.809660908509277,0.9217796914244708,1.0,0.17040524466655896,0.4462890625,0.006030770190987392,0.006436462364249157,0.9682857945325178,0.4217707702528946,0.6799652219346177,0.740375286842399,1.0,16,620732,286974,907706,1.4623154598119639,1500399009792,0,1572914331648,8348271378432,11421584719872,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00006,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,2.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,119.61028172555753,0.42598730872829854,0.4217557251908397,0.809660908509277,0.9217796914244708,1.0,0.17040524466655896,0.4462890625,0.006030770190987392,0.006436462364249157,0.9682857945325178,0.4217707702528946,0.6799652219346177,0.740375286842399,1.0,16,620732,573949,1194681,1.9246325306251328,1500399009792,0,1601200717824,11930966163456,15032565891072,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00007,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,4.0,mass_priority_oracle,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,234.91254411650846,0.42598730872829854,0.4217557251908397,0.809660908509277,0.9217796914244708,1.0,0.17040524466655896,0.4462890625,0.006030770190987392,0.006436462364249157,0.9682857945325178,0.4217707702528946,0.6799652219346177,0.740375286842399,1.0,16,620732,1721847,2342579,3.7738975918753987,1500399009792,0,1601200717824,26374865682432,29476465410048,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00008,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.0,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,64.05555530082663,0.48512991440352243,0.49120234604105567,0.8888202594193947,0.9428071928071928,1.0,0.19502441619103536,0.51220703125,0.006030770190987392,0.007903195606041693,0.9682857945325178,0.48351913876771313,0.7578042837128087,0.8153219076310763,1.0,16,620732,0,620732,1.0,1500399009792,0,1544414035968,4765803085824,7810616131584,True,0.0,0.04241823742354263,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,True,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
ax4-local-00009,predictor,trace_wave_local_deadline_factorized,8,0.125,1.5,10.5,1,0.9,0.9000033438106065,1.5,random_within_route,24.1354255944,1,0.5,0.1,11.251873350143434,88.87408957435984,72.5970177025084,13.774670525693615,90.78471612781979,0.5203969004375307,0.5285757484124585,0.9227467811158798,1.0,1.0,0.20938442988783185,0.5416259765625,0.030247472225689676,0.03234614904506304,0.9752995880664087,0.5226162292657652,0.7968311510016581,0.8563533633899332,1.0,16,620732,286974,907706,1.4623154598119639,1015856234496,484542775296,1572914331648,8348271378432,11421584719872,True,0.0,0.03345400074897017,0.8450091518049417,6.451993854124119,0,0,True,True,True,False,False,False,False,False,trace_derived,measured_anchor,assumed,assumed_not_validated,measured_bandwidth_anchor
