scenario_id,capacity_experts_per_layer,p99_missing_routed_mass,bounded_p99_tpot_ms,policy,shared_distance_over_expert_bound,p99_normalized_perturbation_bound,bound_semantics
ax4-local-00034,8,0.9217796914244708,11.251873350143434,shared_residual,0.5,0.4608898457122354,m_times_D_over_B
ax4-local-00034,8,0.9217796914244708,11.251873350143434,shared_residual,1.0,0.9217796914244708,m_times_D_over_B
ax4-local-00034,8,0.9217796914244708,11.251873350143434,shared_residual,2.0,1.8435593828489416,m_times_D_over_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,null_residual,,0.6691900075700227,m_times_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,present_renormalization,,1.3383800151400453,2m_times_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,shared_residual,0.25,0.16729750189250567,m_times_D_over_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,shared_residual,0.5,0.33459500378501134,m_times_D_over_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,shared_residual,1.0,0.6691900075700227,m_times_D_over_B
ax4-local-00035,8,0.6691900075700227,11.251873350143434,shared_residual,2.0,1.3383800151400453,m_times_D_over_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,null_residual,,0.35695115405260336,m_times_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,present_renormalization,,0.7139023081052067,2m_times_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,shared_residual,0.25,0.08923778851315084,m_times_D_over_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,shared_residual,0.5,0.17847557702630168,m_times_D_over_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,shared_residual,1.0,0.35695115405260336,m_times_D_over_B
ax4-local-00036,8,0.35695115405260336,11.251873350143434,shared_residual,2.0,0.7139023081052067,m_times_D_over_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,null_residual,,0.9217796914244708,m_times_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,present_renormalization,,1.8435593828489416,2m_times_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,shared_residual,0.25,0.2304449228561177,m_times_D_over_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,shared_residual,0.5,0.4608898457122354,m_times_D_over_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,shared_residual,1.0,0.9217796914244708,m_times_D_over_B
ax4-local-00037,8,0.9217796914244708,11.251873350143434,shared_residual,2.0,1.8435593828489416,m_times_D_over_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,null_residual,,0.6691900075700227,m_times_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,present_renormalization,,1.3383800151400453,2m_times_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,shared_residual,0.25,0.16729750189250567,m_times_D_over_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,shared_residual,0.5,0.33459500378501134,m_times_D_over_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,shared_residual,1.0,0.6691900075700227,m_times_D_over_B
ax4-local-00038,8,0.6691900075700227,11.251873350143434,shared_residual,2.0,1.3383800151400453,m_times_D_over_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,null_residual,,0.35695115405260336,m_times_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,present_renormalization,,0.7139023081052067,2m_times_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,shared_residual,0.25,0.08923778851315084,m_times_D_over_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,shared_residual,0.5,0.17847557702630168,m_times_D_over_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,shared_residual,1.0,0.35695115405260336,m_times_D_over_B
ax4-local-00039,8,0.35695115405260336,11.251873350143434,shared_residual,2.0,0.7139023081052067,m_times_D_over_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,null_residual,,0.08695652173913049,m_times_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,present_renormalization,,0.17391304347826098,2m_times_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,shared_residual,0.25,0.021739130434782622,m_times_D_over_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,shared_residual,0.5,0.043478260869565244,m_times_D_over_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,shared_residual,1.0,0.08695652173913049,m_times_D_over_B
ax4-local-00040,8,0.08695652173913049,11.251873350143434,shared_residual,2.0,0.17391304347826098,m_times_D_over_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,null_residual,,0.9217796914244708,m_times_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,present_renormalization,,1.8435593828489416,2m_times_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,shared_residual,0.25,0.2304449228561177,m_times_D_over_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,shared_residual,0.5,0.4608898457122354,m_times_D_over_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,shared_residual,1.0,0.9217796914244708,m_times_D_over_B
ax4-local-00041,8,0.9217796914244708,11.251873350143434,shared_residual,2.0,1.8435593828489416,m_times_D_over_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,null_residual,,0.35695115405260336,m_times_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,present_renormalization,,0.7139023081052067,2m_times_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,shared_residual,0.25,0.08923778851315084,m_times_D_over_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,shared_residual,0.5,0.17847557702630168,m_times_D_over_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,shared_residual,1.0,0.35695115405260336,m_times_D_over_B
ax4-local-00042,8,0.35695115405260336,11.251873350143434,shared_residual,2.0,0.7139023081052067,m_times_D_over_B
ax4-local-00043,8,0.08695652173913049,11.251873350143434,null_residual,,0.08695652173913049,m_times_B
ax4-local-00043,8,0.08695652173913049,11.251873350143434,present_renormalization,,0.17391304347826098,2m_times_B
ax4-local-00043,8,0.08695652173913049,11.251873350143434,shared_residual,0.25,0.021739130434782622,m_times_D_over_B
