capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,requested_amplification,commit_slack_layer_intervals,transfer_concurrency,expert_transfer_ms,lead_time_ms,complete_expert_objects_before_deadline,complete_payload_mib_before_deadline,zero_post_commit_wait_required,evidence
8,1,256.0,1.5,0.5,4,0.0519070100475,0.9589664787054062,72,864.0,True,analytical_hypothetical_hardware
8,1,256.0,1.5,1.0,1,0.0519070100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,256.0,1.5,1.0,2,0.0519070100475,1.2786219716072083,48,576.0,True,analytical_hypothetical_hardware
8,1,256.0,1.5,1.0,4,0.0519070100475,1.2786219716072083,96,1152.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.0,1,0.0519070100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.0,2,0.0519070100475,0.6393109858036041,24,288.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.0,4,0.0519070100475,0.6393109858036041,48,576.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.25,1,0.0519070100475,0.7991387322545052,15,180.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.25,2,0.0519070100475,0.7991387322545052,30,360.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.25,4,0.0519070100475,0.7991387322545052,60,720.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.5,1,0.0519070100475,0.9589664787054062,18,216.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.5,2,0.0519070100475,0.9589664787054062,36,432.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,0.5,4,0.0519070100475,0.9589664787054062,72,864.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,1.0,1,0.0519070100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,1.0,2,0.0519070100475,1.2786219716072083,48,576.0,True,analytical_hypothetical_hardware
8,1,256.0,2.0,1.0,4,0.0519070100475,1.2786219716072083,96,1152.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.0,1,0.0519070100475,0.6393109858036041,12,144.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.0,2,0.0519070100475,0.6393109858036041,24,288.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.0,4,0.0519070100475,0.6393109858036041,48,576.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.25,1,0.0519070100475,0.7991387322545052,15,180.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.25,2,0.0519070100475,0.7991387322545052,30,360.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.25,4,0.0519070100475,0.7991387322545052,60,720.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.5,1,0.0519070100475,0.9589664787054062,18,216.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.5,2,0.0519070100475,0.9589664787054062,36,432.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,0.5,4,0.0519070100475,0.9589664787054062,72,864.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,1.0,1,0.0519070100475,1.2786219716072083,24,288.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,1.0,2,0.0519070100475,1.2786219716072083,48,576.0,True,analytical_hypothetical_hardware
8,1,256.0,4.0,1.0,4,0.0519070100475,1.2786219716072083,96,1152.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.0,1,0.5241011926861662,1.9179329574108124,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.0,2,0.5241011926861662,1.9179329574108124,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.0,4,0.5241011926861662,1.9179329574108124,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.25,1,0.5241011926861662,2.0777607038617134,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.25,2,0.5241011926861662,2.0777607038617134,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.25,4,0.5241011926861662,2.0777607038617134,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.5,1,0.5241011926861662,2.2375884503126144,4,48.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.5,2,0.5241011926861662,2.2375884503126144,8,96.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,0.5,4,0.5241011926861662,2.2375884503126144,16,192.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,1.0,1,0.5241011926861662,2.5572439432144165,4,48.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,1.0,2,0.5241011926861662,2.5572439432144165,8,96.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.0,1.0,4,0.5241011926861662,2.5572439432144165,16,192.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.0,1,0.5241011926861662,1.9179329574108124,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.0,2,0.5241011926861662,1.9179329574108124,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.0,4,0.5241011926861662,1.9179329574108124,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.25,1,0.5241011926861662,2.0777607038617134,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.25,2,0.5241011926861662,2.0777607038617134,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.25,4,0.5241011926861662,2.0777607038617134,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.5,1,0.5241011926861662,2.2375884503126144,4,48.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.5,2,0.5241011926861662,2.2375884503126144,8,96.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,0.5,4,0.5241011926861662,2.2375884503126144,16,192.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,1.0,1,0.5241011926861662,2.5572439432144165,4,48.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,1.0,2,0.5241011926861662,2.5572439432144165,8,96.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,1.5,1.0,4,0.5241011926861662,2.5572439432144165,16,192.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.0,1,0.5241011926861662,1.9179329574108124,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.0,2,0.5241011926861662,1.9179329574108124,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.0,4,0.5241011926861662,1.9179329574108124,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.25,1,0.5241011926861662,2.0777607038617134,3,36.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.25,2,0.5241011926861662,2.0777607038617134,6,72.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.25,4,0.5241011926861662,2.0777607038617134,12,144.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.5,1,0.5241011926861662,2.2375884503126144,4,48.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.5,2,0.5241011926861662,2.2375884503126144,8,96.0,True,analytical_hypothetical_hardware
8,3,24.1354255944,2.0,0.5,4,0.5241011926861662,2.2375884503126144,16,192.0,True,analytical_hypothetical_hardware
