scenario_id,scope_type,scope,waves,p99_missing_routed_mass,full_fallback_wave_fraction,mass_contract_pass
ax4-local-00011,domain,general,32256,1.0,0.09350198412698413,False
ax4-local-00011,domain,math,32240,1.0,0.0554590570719603,False
ax4-local-00011,layer_band,early,40055,1.0,0.054525028086381225,False
ax4-local-00011,layer_band,middle,40055,1.0,0.04426413681188366,False
ax4-local-00011,layer_band,late,48066,1.0,0.07955727541297383,False
ax4-local-00012,domain,code,32256,0.9357197844495766,0.004185267857142857,False
ax4-local-00012,domain,conversation,31424,0.9572921399363925,0.00560081466395112,False
ax4-local-00012,domain,general,32256,0.976159793814433,0.008587549603174604,False
ax4-local-00012,domain,math,32240,0.95220700152207,0.0057382133995037225,False
ax4-local-00012,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00012,layer_band,middle,40055,0.93682092555332,0.0,False
ax4-local-00012,layer_band,late,48066,0.9562175581132927,0.0,False
ax4-local-00013,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00013,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00013,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00013,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00013,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00013,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00013,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00014,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00014,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00014,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00014,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00014,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00014,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00014,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00015,domain,code,32256,1.0,0.023468501984126984,False
ax4-local-00015,domain,conversation,31424,1.0,0.09966904276985743,False
ax4-local-00015,domain,general,32256,1.0,0.1216827876984127,False
ax4-local-00015,domain,math,32240,1.0,0.07245657568238213,False
ax4-local-00015,layer_band,early,40055,1.0,0.06648358507052803,False
ax4-local-00015,layer_band,middle,40055,1.0,0.05906878042691299,False
ax4-local-00015,layer_band,late,48066,1.0,0.10654100611658969,False
ax4-local-00016,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00016,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00016,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00016,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00016,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00016,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00016,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00017,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00017,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00017,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00017,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00017,layer_band,early,40055,1.0,0.019298464611159655,False
ax4-local-00017,layer_band,middle,40055,0.8348926802421575,0.0,False
ax4-local-00017,layer_band,late,48066,0.830480847595762,0.0,False
ax4-local-00018,domain,code,32256,0.8902907295666483,0.004185267857142857,False
ax4-local-00018,domain,conversation,31424,0.9231523871811642,0.00560081466395112,False
ax4-local-00018,domain,general,32256,0.9431053811659192,0.008587549603174604,False
ax4-local-00018,domain,math,32240,0.9177087535296491,0.0057382133995037225,False
ax4-local-00018,layer_band,early,40055,1.0,0.019298464611159655,False
