size_mib,bytes,repetition,elapsed_ms,wall_completion_ms
4,4194304,0,0.17747199535369873,0.1898016780614853
4,4194304,1,0.1765120029449463,0.1841336488723755
4,4194304,2,0.17679999768733978,0.18372014164924622
4,4194304,3,0.1764799952507019,0.18318556249141693
4,4194304,4,0.17664000391960144,0.18348731100559235
4,4194304,5,0.17632000148296356,0.18303655087947845
4,4194304,6,0.17664000391960144,0.1832265406847
4,4194304,7,0.17641599476337433,0.18313154578208923
4,4194304,8,0.17664000391960144,0.18323585391044617
4,4194304,9,0.1765120029449463,0.18330290913581848
4,4194304,10,0.17664000391960144,0.1833047717809677
4,4194304,11,0.17654399573802948,0.18305703997612
4,4194304,12,0.17664000391960144,0.18343329429626465
4,4194304,13,0.17632000148296356,0.18309243023395538
4,4194304,14,0.1767359972000122,0.18361955881118774
4,4194304,15,0.17628799378871918,0.1828465610742569
4,4194304,16,0.17632000148296356,0.18309429287910461
4,4194304,17,0.17635199427604675,0.1833159476518631
4,4194304,18,0.17660799622535706,0.18326006829738617
4,4194304,19,0.17657600343227386,0.18334761261940002
4,4194304,20,0.17641599476337433,0.1832321286201477
4,4194304,21,0.17660799622535706,0.18378719687461853
4,4194304,22,0.17670400440692902,0.18328242003917694
4,4194304,23,0.1764480024576187,0.18344074487686157
4,4194304,24,0.1765120029449463,0.1831483095884323
4,4194304,25,0.17635199427604675,0.18299929797649384
4,4194304,26,0.1767359972000122,0.18331967294216156
4,4194304,27,0.17654399573802948,0.18320418894290924
4,4194304,28,0.17667199671268463,0.1833830028772354
4,4194304,29,0.17635199427604675,0.18315017223358154
4,4194304,30,0.17670400440692902,0.18332339823246002
4,4194304,31,0.17654399573802948,0.18316693603992462
4,4194304,32,0.17660799622535706,0.1831483095884323
4,4194304,33,0.1764480024576187,0.18317066133022308
4,4194304,34,0.17670400440692902,0.18336065113544464
4,4194304,35,0.17657600343227386,0.18325820565223694
4,4194304,36,0.1765120029449463,0.18315389752388
4,4194304,37,0.176256000995636,0.18298998475074768
4,4194304,38,0.1767359972000122,0.1835562288761139
4,4194304,39,0.1767359972000122,0.18337927758693695
4,4194304,40,0.17641599476337433,0.1831110566854477
4,4194304,41,0.17638400197029114,0.18310919404029846
4,4194304,42,0.17785599827766418,0.18448755145072937
4,4194304,43,0.1777919977903366,0.18451549112796783
4,4194304,44,0.176256000995636,0.18303282558918
4,4194304,45,0.17638400197029114,0.1831240952014923
4,4194304,46,0.1764799952507019,0.18311291933059692
4,4194304,47,0.17657600343227386,0.1830868422985077
4,4194304,48,0.1765120029449463,0.1831240952014923
4,4194304,49,0.17638400197029114,0.18298998475074768
8,8388608,0,0.3505600094795227,0.35967491567134857
8,8388608,1,0.35020801424980164,0.3570951521396637
8,8388608,2,0.35049599409103394,0.35743601620197296
8,8388608,3,0.350271999835968,0.35708025097846985
8,8388608,4,0.3503359854221344,0.35719573497772217
8,8388608,5,0.35040000081062317,0.35729631781578064
8,8388608,6,0.35049599409103394,0.3571845591068268
8,8388608,7,0.3503679931163788,0.3571603447198868
8,8388608,8,0.350271999835968,0.35712867975234985
8,8388608,9,0.35043200850486755,0.3571789711713791
8,8388608,10,0.3503679931163788,0.3569703549146652
8,8388608,11,0.35023999214172363,0.35687536001205444
8,8388608,12,0.3503679931163788,0.3571845591068268
8,8388608,13,0.35023999214172363,0.3573168069124222
8,8388608,14,0.35040000081062317,0.35706907510757446
8,8388608,15,0.35046398639678955,0.3574918955564499
8,8388608,16,0.35071998834609985,0.35756267607212067
8,8388608,17,0.35260799527168274,0.3593321889638901
8,8388608,18,0.35023999214172363,0.3567934036254883
8,8388608,19,0.350271999835968,0.3570094704627991
8,8388608,20,0.35023999214172363,0.35693496465682983
8,8388608,21,0.350271999835968,0.3568846732378006
8,8388608,22,0.35023999214172363,0.3567114472389221
8,8388608,23,0.35040000081062317,0.35696104168891907
8,8388608,24,0.350271999835968,0.35682693123817444
8,8388608,25,0.35043200850486755,0.3571677953004837
8,8388608,26,0.3526720106601715,0.35948678851127625
8,8388608,27,0.35155200958251953,0.35843625664711
8,8388608,28,0.35020801424980164,0.3570485860109329
8,8388608,29,0.3501119911670685,0.3568921238183975
8,8388608,30,0.350271999835968,0.35682693123817444
8,8388608,31,0.35023999214172363,0.356798991560936
8,8388608,32,0.35014399886131287,0.35671889781951904
8,8388608,33,0.3503040075302124,0.35695917904376984
8,8388608,34,0.35049599409103394,0.3570094704627991
8,8388608,35,0.3503679931163788,0.35711005330085754
8,8388608,36,0.3526400029659271,0.3592800348997116
8,8388608,37,0.3514559864997864,0.3580693155527115
8,8388608,38,0.35392001271247864,0.36047399044036865
8,8388608,39,0.350271999835968,0.35688281059265137
8,8388608,40,0.35017600655555725,0.3566630184650421
8,8388608,41,0.350271999835968,0.356944277882576
8,8388608,42,0.3503359854221344,0.356871634721756
8,8388608,43,0.35023999214172363,0.3567691892385483
8,8388608,44,0.350271999835968,0.35682134330272675
8,8388608,45,0.35014399886131287,0.356895849108696
8,8388608,46,0.3503040075302124,0.35683996975421906
8,8388608,47,0.3503359854221344,0.35692378878593445
8,8388608,48,0.35231998562812805,0.3670006990432739
8,8388608,49,0.35260799527168274,0.3594309091567993
12,12582912,0,0.5244479775428772,0.5331989377737045
12,12582912,1,0.5241280198097229,0.5309488624334335
12,12582912,2,0.5240960121154785,0.530831515789032
12,12582912,3,0.5240960121154785,0.530727207660675
12,12582912,4,0.5241600275039673,0.5308706313371658
12,12582912,5,0.5240640044212341,0.5311686545610428
12,12582912,6,0.523967981338501,0.5307924002408981
12,12582912,7,0.5240960121154785,0.530976802110672
12,12582912,8,0.5264959931373596,0.533251091837883
12,12582912,9,0.523904025554657,0.5307979881763458
12,12582912,10,0.5241600275039673,0.5308240652084351
12,12582912,11,0.5251839756965637,0.5318857729434967
12,12582912,12,0.5275200009346008,0.5340725183486938
12,12582912,13,0.5239999890327454,0.5307216197252274
12,12582912,14,0.5266559720039368,0.5333535373210907
12,12582912,15,0.5239359736442566,0.5306191742420197
12,12582912,16,0.5242239832878113,0.5308352410793304
12,12582912,17,0.5240640044212341,0.5307812243700027
12,12582912,18,0.5266559720039368,0.5333367735147476
12,12582912,19,0.5240640044212341,0.5306042730808258
12,12582912,20,0.5240319967269897,0.5307551473379135
12,12582912,21,0.5249599814414978,0.5317553877830505
12,12582912,22,0.5244799852371216,0.5334261804819107
12,12582912,23,0.5239999890327454,0.5305111408233643
12,12582912,24,0.5239999890327454,0.5304422229528427
12,12582912,25,0.5238400101661682,0.5306117236614227
12,12582912,26,0.5239359736442566,0.530557706952095
12,12582912,27,0.5240319967269897,0.5305930972099304
12,12582912,28,0.5239359736442566,0.5304701626300812
12,12582912,29,0.5264000296592712,0.5332566797733307
12,12582912,30,0.5240640044212341,0.530678778886795
12,12582912,31,0.5261759757995605,0.5327444523572922
12,12582912,32,0.5241280198097229,0.530758872628212
12,12582912,33,0.5240960121154785,0.5307849496603012
12,12582912,34,0.5241600275039673,0.5307570099830627
12,12582912,35,0.5238720178604126,0.5303900688886642
12,12582912,36,0.5263360142707825,0.5330517888069153
12,12582912,37,0.5241280198097229,0.5310606211423874
