epoch,examples,mean_training_loss,elapsed_seconds
1,5002776,0.35368454488140566,4.829869478009641
2,5002776,0.303623039824473,1.349207455292344
3,5002776,0.29608956482955756,1.3901589084416628
4,5002776,0.29325706135440177,1.47119296528399
5,5002776,0.29140002322365627,1.3839776869863272
6,5002776,0.2898527440190004,1.4432151578366756
7,5002776,0.2886615116128605,1.4629559526219964
8,5002776,0.2878377984988996,1.4456444028764963
9,5002776,0.287229973823124,1.4479434788227081
10,5002776,0.28673584285700965,1.4082664977759123
11,5002776,0.2863138657845677,1.3028819486498833
12,5002776,0.28593864531116,1.296252854168415
13,5002776,0.28559776481589,1.2576184179633856
14,5002776,0.28529194770522026,1.2519294898957014
15,5002776,0.2850251059392057,1.2528870459645987
16,5002776,0.2848007947504212,1.2044411292299628
17,5002776,0.28461616981644994,1.2277091471478343
18,5002776,0.2844498657765638,1.1943128257989883
19,5002776,0.2843019443816997,1.1905623404309154
20,5002776,0.28417301993784966,1.1834979308769107
