request_id,sample_id,domain,phase,baseline,delta,layer_pairs,candidate_count,candidate_amplification,forecasts,selection_coverage,routed_mass_coverage,complete_route_coverage
2,gsm8k-00041,math,decode,learned,11,13,4,1.0,208,0.6742788461538461,0.7014394998550415,0.2932692307692308
2,gsm8k-00041,math,decode,learned,12,12,4,1.0,192,0.67578125,0.7064158320426941,0.28125
2,gsm8k-00041,math,decode,learned,13,11,4,1.0,176,0.6647727272727273,0.6980257630348206,0.2556818181818182
2,gsm8k-00041,math,decode,learned,14,10,4,1.0,160,0.6859375,0.7149078249931335,0.275
2,gsm8k-00041,math,decode,learned,15,9,4,1.0,144,0.6822916666666666,0.7057936191558838,0.25
2,gsm8k-00041,math,decode,learned,16,8,4,1.0,128,0.646484375,0.6725921630859375,0.234375
2,gsm8k-00041,math,decode,learned,17,7,4,1.0,112,0.6450892857142857,0.6745213270187378,0.25
2,gsm8k-00041,math,decode,learned,18,6,4,1.0,96,0.6744791666666666,0.7014007568359375,0.2604166666666667
2,gsm8k-00041,math,decode,learned,19,5,4,1.0,80,0.68125,0.7080138921737671,0.325
2,gsm8k-00041,math,decode,learned,20,4,4,1.0,64,0.69140625,0.725799560546875,0.3125
2,gsm8k-00041,math,decode,learned,21,3,4,1.0,48,0.6770833333333334,0.7058207392692566,0.3125
2,gsm8k-00041,math,decode,learned,22,2,4,1.0,32,0.7109375,0.7320404052734375,0.34375
2,gsm8k-00041,math,decode,learned,23,1,4,1.0,16,0.671875,0.706878662109375,0.3125
3,mt_bench-35264271,conversation,decode,learned,1,23,4,1.0,368,0.6936141304347826,0.7333453893661499,0.25
3,mt_bench-35264271,conversation,decode,learned,2,22,4,1.0,352,0.6931818181818182,0.7317712903022766,0.24431818181818182
3,mt_bench-35264271,conversation,decode,learned,3,21,4,1.0,336,0.6770833333333334,0.707403302192688,0.25297619047619047
3,mt_bench-35264271,conversation,decode,learned,4,20,4,1.0,320,0.67109375,0.701123058795929,0.25
3,mt_bench-35264271,conversation,decode,learned,5,19,4,1.0,304,0.6504934210526315,0.6860833168029785,0.21710526315789475
3,mt_bench-35264271,conversation,decode,learned,6,18,4,1.0,288,0.6527777777777778,0.6889546513557434,0.22569444444444445
3,mt_bench-35264271,conversation,decode,learned,7,17,4,1.0,272,0.6461397058823529,0.6806981563568115,0.18382352941176472
3,mt_bench-35264271,conversation,decode,learned,8,16,4,1.0,256,0.6318359375,0.6633167266845703,0.20703125
3,mt_bench-35264271,conversation,decode,learned,9,15,4,1.0,240,0.6208333333333333,0.6439453363418579,0.21666666666666667
3,mt_bench-35264271,conversation,decode,learned,10,14,4,1.0,224,0.6049107142857143,0.6337868571281433,0.17410714285714285
3,mt_bench-35264271,conversation,decode,learned,11,13,4,1.0,208,0.6213942307692307,0.6465688943862915,0.21153846153846154
3,mt_bench-35264271,conversation,decode,learned,12,12,4,1.0,192,0.6080729166666666,0.6379547119140625,0.20833333333333334
3,mt_bench-35264271,conversation,decode,learned,13,11,4,1.0,176,0.6022727272727273,0.6301130652427673,0.19318181818181818
3,mt_bench-35264271,conversation,decode,learned,14,10,4,1.0,160,0.6125,0.6413940191268921,0.23125
3,mt_bench-35264271,conversation,decode,learned,15,9,4,1.0,144,0.6059027777777778,0.6326565146446228,0.2152777777777778
3,mt_bench-35264271,conversation,decode,learned,16,8,4,1.0,128,0.58203125,0.6072006225585938,0.203125
3,mt_bench-35264271,conversation,decode,learned,17,7,4,1.0,112,0.6116071428571429,0.6441563367843628,0.1875
3,mt_bench-35264271,conversation,decode,learned,18,6,4,1.0,96,0.609375,0.6326954960823059,0.1875
3,mt_bench-35264271,conversation,decode,learned,19,5,4,1.0,80,0.6125,0.643908679485321,0.15
3,mt_bench-35264271,conversation,decode,learned,20,4,4,1.0,64,0.59375,0.61090087890625,0.171875
3,mt_bench-35264271,conversation,decode,learned,21,3,4,1.0,48,0.5833333333333334,0.6070048213005066,0.125
3,mt_bench-35264271,conversation,decode,learned,22,2,4,1.0,32,0.5703125,0.5825347900390625,0.09375
3,mt_bench-35264271,conversation,decode,learned,23,1,4,1.0,16,0.46875,0.466705322265625,0.0625
4,wikitext2-00037,general,decode,learned,1,23,4,1.0,368,0.8648097826086957,0.8927479386329651,0.5625
4,wikitext2-00037,general,decode,learned,2,22,4,1.0,352,0.8515625,0.8829748034477234,0.5142045454545454
4,wikitext2-00037,general,decode,learned,3,21,4,1.0,336,0.8586309523809523,0.884942889213562,0.5386904761904762
4,wikitext2-00037,general,decode,learned,4,20,4,1.0,320,0.8375,0.8704681396484375,0.49375
4,wikitext2-00037,general,decode,learned,5,19,4,1.0,304,0.8421052631578947,0.8716301918029785,0.5032894736842105
4,wikitext2-00037,general,decode,learned,6,18,4,1.0,288,0.8385416666666666,0.8658057451248169,0.5104166666666666
4,wikitext2-00037,general,decode,learned,7,17,4,1.0,272,0.8382352941176471,0.8633979558944702,0.5
4,wikitext2-00037,general,decode,learned,8,16,4,1.0,256,0.833984375,0.8599319458007812,0.48828125
4,wikitext2-00037,general,decode,learned,9,15,4,1.0,240,0.8260416666666667,0.850189208984375,0.4791666666666667
4,wikitext2-00037,general,decode,learned,10,14,4,1.0,224,0.8236607142857143,0.8434557318687439,0.48214285714285715
4,wikitext2-00037,general,decode,learned,11,13,4,1.0,208,0.8353365384615384,0.8570979237556458,0.5144230769230769
4,wikitext2-00037,general,decode,learned,12,12,4,1.0,192,0.828125,0.8553898930549622,0.484375
4,wikitext2-00037,general,decode,learned,13,11,4,1.0,176,0.8480113636363636,0.8723505139350891,0.5568181818181818
4,wikitext2-00037,general,decode,learned,14,10,4,1.0,160,0.859375,0.881622314453125,0.59375
4,wikitext2-00037,general,decode,learned,15,9,4,1.0,144,0.875,0.9006516933441162,0.5694444444444444
4,wikitext2-00037,general,decode,learned,16,8,4,1.0,128,0.859375,0.8769912719726562,0.59375
4,wikitext2-00037,general,decode,learned,17,7,4,1.0,112,0.8794642857142857,0.9036516547203064,0.5714285714285714
4,wikitext2-00037,general,decode,learned,18,6,4,1.0,96,0.8723958333333334,0.8987884521484375,0.6041666666666666
4,wikitext2-00037,general,decode,learned,19,5,4,1.0,80,0.875,0.902435302734375,0.55
4,wikitext2-00037,general,decode,learned,20,4,4,1.0,64,0.90625,0.9274520874023438,0.671875
4,wikitext2-00037,general,decode,learned,21,3,4,1.0,48,0.875,0.8956095576286316,0.6041666666666666
4,wikitext2-00037,general,decode,learned,22,2,4,1.0,32,0.8984375,0.9318084716796875,0.625
4,wikitext2-00037,general,decode,learned,23,1,4,1.0,16,0.953125,0.9716796875,0.8125
5,humaneval-HumanEval_38,code,decode,learned,1,23,4,1.0,368,0.7391304347826086,0.7788829207420349,0.30434782608695654
5,humaneval-HumanEval_38,code,decode,learned,2,22,4,1.0,352,0.7336647727272727,0.7715648412704468,0.3096590909090909
5,humaneval-HumanEval_38,code,decode,learned,3,21,4,1.0,336,0.7120535714285714,0.746008038520813,0.28869047619047616
5,humaneval-HumanEval_38,code,decode,learned,4,20,4,1.0,320,0.70625,0.7319305539131165,0.3
5,humaneval-HumanEval_38,code,decode,learned,5,19,4,1.0,304,0.6792763157894737,0.7079724669456482,0.28618421052631576
5,humaneval-HumanEval_38,code,decode,learned,6,18,4,1.0,288,0.6710069444444444,0.6956413984298706,0.2708333333333333
5,humaneval-HumanEval_38,code,decode,learned,7,17,4,1.0,272,0.6617647058823529,0.685814380645752,0.2757352941176471
5,humaneval-HumanEval_38,code,decode,learned,8,16,4,1.0,256,0.6416015625,0.6654090881347656,0.23828125
5,humaneval-HumanEval_38,code,decode,learned,9,15,4,1.0,240,0.6260416666666667,0.6440592408180237,0.2375
5,humaneval-HumanEval_38,code,decode,learned,10,14,4,1.0,224,0.640625,0.6721671223640442,0.25892857142857145
5,humaneval-HumanEval_38,code,decode,learned,11,13,4,1.0,208,0.6646634615384616,0.6865797638893127,0.28365384615384615
5,humaneval-HumanEval_38,code,decode,learned,12,12,4,1.0,192,0.6627604166666666,0.6893463134765625,0.3020833333333333
5,humaneval-HumanEval_38,code,decode,learned,13,11,4,1.0,176,0.6590909090909091,0.6848976612091064,0.2784090909090909
5,humaneval-HumanEval_38,code,decode,learned,14,10,4,1.0,160,0.6703125,0.6990569829940796,0.30625
5,humaneval-HumanEval_38,code,decode,learned,15,9,4,1.0,144,0.6770833333333334,0.6923862099647522,0.2777777777777778
5,humaneval-HumanEval_38,code,decode,learned,16,8,4,1.0,128,0.681640625,0.7068023681640625,0.3515625
5,humaneval-HumanEval_38,code,decode,learned,17,7,4,1.0,112,0.6696428571428571,0.6880318522453308,0.25892857142857145
5,humaneval-HumanEval_38,code,decode,learned,18,6,4,1.0,96,0.6510416666666666,0.6711629033088684,0.28125
5,humaneval-HumanEval_38,code,decode,learned,19,5,4,1.0,80,0.65625,0.67041015625,0.2375
5,humaneval-HumanEval_38,code,decode,learned,20,4,4,1.0,64,0.64453125,0.668731689453125,0.203125
5,humaneval-HumanEval_38,code,decode,learned,21,3,4,1.0,48,0.6041666666666666,0.6196696162223816,0.125
5,humaneval-HumanEval_38,code,decode,learned,22,2,4,1.0,32,0.6328125,0.658233642578125,0.15625
5,humaneval-HumanEval_38,code,decode,learned,23,1,4,1.0,16,0.5625,0.5914306640625,0.25
6,gsm8k-00040,math,decode,learned,1,23,4,1.0,368,0.7438858695652174,0.7823977470397949,0.33152173913043476
6,gsm8k-00040,math,decode,learned,2,22,4,1.0,352,0.7414772727272727,0.7819865942001343,0.3465909090909091
6,gsm8k-00040,math,decode,learned,3,21,4,1.0,336,0.7165178571428571,0.753698468208313,0.32142857142857145
6,gsm8k-00040,math,decode,learned,4,20,4,1.0,320,0.71015625,0.7484146356582642,0.296875
6,gsm8k-00040,math,decode,learned,5,19,4,1.0,304,0.7023026315789473,0.732391357421875,0.3026315789473684
6,gsm8k-00040,math,decode,learned,6,18,4,1.0,288,0.7100694444444444,0.7441948652267456,0.3159722222222222
6,gsm8k-00040,math,decode,learned,7,17,4,1.0,272,0.6893382352941176,0.7208898067474365,0.29044117647058826
6,gsm8k-00040,math,decode,learned,8,16,4,1.0,256,0.689453125,0.7156963348388672,0.3203125
6,gsm8k-00040,math,decode,learned,9,15,4,1.0,240,0.671875,0.7015177607536316,0.26666666666666666
6,gsm8k-00040,math,decode,learned,10,14,4,1.0,224,0.6551339285714286,0.6830640435218811,0.28125
6,gsm8k-00040,math,decode,learned,11,13,4,1.0,208,0.6658653846153846,0.696943998336792,0.28365384615384615
