phase,policy,capacity,lookahead,bandwidth_scale,mean_cold_experts_per_wave,available_lead_time_ms,mean_cold_service_time_ms,cold_service_headroom_ratio,cold_service_pressure_ratio,selection_coverage,complete_route_coverage,deadline_feasible_cold_fraction,oracle_stall_reduction,oracle_pass,prediction_pass,category,first_order_region
decode,transition,8,1,1.0,4.875887321599468,0.6393109858036041,2.5554331007747026,0.2501771561187774,3.9971675092718173,0.5803819444444444,0.012003968253968255,0.2041675271500279,0.24758490430220614,False,False,physics_and_prediction_limited,nominal_both_limited
decode,linear,8,1,1.0,4.875887321599468,0.6393109858036041,2.5554331007747026,0.2501771561187774,3.9971675092718173,0.6043113425925927,0.038525132275132275,0.2041675271500279,0.24758490430220614,False,False,physics_and_prediction_limited,nominal_both_limited
decode,transition,8,2,1.0,4.819266365889758,1.2786219716072083,2.525758283685077,0.5062329122570276,1.975375317937199,0.5680272108843537,0.009920634920634922,0.22219241443108234,0.27042606289866555,False,False,physics_and_prediction_limited,nominal_both_limited
decode,linear,8,2,1.0,4.819266365889758,1.2786219716072083,2.525758283685077,0.5062329122570276,1.975375317937199,0.6026830002834468,0.037450396825396824,0.22219241443108234,0.27042606289866555,False,False,physics_and_prediction_limited,nominal_both_limited
decode,transition,8,3,1.0,4.799170371508406,1.9179329574108124,2.5152260531703154,0.7625290597611911,1.3114254298887704,0.5550118284493284,0.009386446886446886,0.2411264505802321,0.29251430365995323,False,False,physics_and_prediction_limited,nominal_both_limited
decode,linear,8,3,1.0,4.799170371508406,1.9179329574108124,2.5152260531703154,0.7625290597611911,1.3114254298887704,0.6004655067155067,0.03815628815628815,0.2411264505802321,0.29251430365995323,False,False,physics_and_prediction_limited,nominal_both_limited
decode,transition,8,6,1.0,4.8826114093121955,3.8358659148216248,2.5589571683300583,1.498995748070633,0.6671132998790066,0.5095052083333333,0.007638888888888888,0.3290638278289948,0.3724577214473117,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,linear,8,6,1.0,4.8826114093121955,3.8358659148216248,2.5589571683300583,1.498995748070633,0.6671132998790066,0.581857638888889,0.03774801587301587,0.3290638278289948,0.3724577214473117,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,transition,8,9,1.0,5.071597981347076,5.753798872232437,2.6580042770769134,2.1647064009092043,0.46195641107726537,0.4728422619047619,0.00510204081632653,0.4726090014064698,0.5038449073174056,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,linear,8,9,1.0,5.071597981347076,5.753798872232437,2.6580042770769134,2.1647064009092043,0.46195641107726537,0.5583545918367346,0.03493480725623583,0.4726090014064698,0.5038449073174056,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,transition,8,12,1.0,5.072338035201597,7.6717318296432495,2.6583921363508187,2.8858540938111013,0.3465178652463976,0.43298921130952384,0.006200396825396825,0.7900737058410956,0.8004222904025496,True,False,prediction_limited,nominal_prediction_limited
decode,linear,8,12,1.0,5.072338035201597,7.6717318296432495,2.6583921363508187,2.8858540938111013,0.3465178652463976,0.5166945684523809,0.027777777777777776,0.7900737058410956,0.8004222904025496,True,False,prediction_limited,nominal_prediction_limited
decode,transition,8,15,1.0,5.257146423667457,9.589664787054062,2.755249475751264,3.480506891100771,0.2873144720836144,0.34802827380952384,0.010912698412698412,1.0,1.0,True,False,prediction_limited,nominal_prediction_limited
decode,linear,8,15,1.0,5.257146423667457,9.589664787054062,2.755249475751264,3.480506891100771,0.2873144720836144,0.4890873015873016,0.0248015873015873,1.0,1.0,True,False,prediction_limited,nominal_prediction_limited
decode,transition,16,1,1.0,3.5603295468730494,0.6393109858036041,1.8659545173330738,0.34261874009519966,2.9186961569064818,0.7898602843915344,0.24067460317460315,0.2661028873820493,0.3176171227625304,False,False,physics_and_prediction_limited,nominal_both_limited
decode,linear,16,1,1.0,3.5603295468730494,0.6393109858036041,1.8659545173330738,0.34261874009519966,2.9186961569064818,0.7940145502645504,0.2873015873015873,0.2661028873820493,0.3176171227625304,False,False,physics_and_prediction_limited,nominal_both_limited
decode,transition,16,2,1.0,3.4897819070207037,1.2786219716072083,1.8289807806223004,0.6990898893820876,1.4304312151959189,0.7791950113378684,0.2354733560090703,0.2981938869627203,0.3583621045645121,False,False,physics_and_prediction_limited,nominal_both_limited
decode,linear,16,2,1.0,3.4897819070207037,1.2786219716072083,1.8289807806223004,0.6990898893820876,1.4304312151959189,0.793327487244898,0.2884070294784581,0.2981938869627203,0.3583621045645121,False,False,physics_and_prediction_limited,nominal_both_limited
decode,transition,16,3,1.0,3.459157120497777,1.9179329574108124,1.8129304521337466,1.0579186615534435,0.9452522545841133,0.7681385454822955,0.2216498778998779,0.32827199116161965,0.3893424538231788,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,linear,16,3,1.0,3.459157120497777,1.9179329574108124,1.8129304521337466,1.0579186615534435,0.9452522545841133,0.7931929181929183,0.2876221001221001,0.32827199116161965,0.3893424538231788,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,transition,16,6,1.0,3.532555236549744,3.8358659148216248,1.8513981120533718,2.0718752438217054,0.4826545435020675,0.7291418650793651,0.18834325396825397,0.43487648104370075,0.48167192535056325,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,linear,16,6,1.0,3.532555236549744,3.8358659148216248,1.8513981120533718,2.0718752438217054,0.4826545435020675,0.7784722222222222,0.2791666666666667,0.43487648104370075,0.48167192535056325,False,False,physics_and_prediction_limited,nominal_prediction_limited
decode,transition,16,9,1.0,3.726608056779072,5.753798872232437,1.9531004212753242,2.945982095726217,0.33944537594125773,0.6873317035147393,0.14080215419501133,0.5866913583791518,0.6183674103335711,True,False,prediction_limited,nominal_prediction_limited
decode,linear,16,9,1.0,3.726608056779072,5.753798872232437,1.9531004212753242,2.945982095726217,0.33944537594125773,0.7563509778911565,0.265093537414966,0.5866913583791518,0.6183674103335711,True,False,prediction_limited,nominal_prediction_limited
decode,transition,16,12,1.0,3.656066658344776,7.6717318296432495,1.9161299556668607,4.003763840210564,0.2497649811302078,0.6278056795634921,0.0992063492063492,0.8895565703555119,0.8961671234031371,True,False,prediction_limited,nominal_prediction_limited
decode,linear,16,12,1.0,3.656066658344776,7.6717318296432495,1.9161299556668607,4.003763840210564,0.2497649811302078,0.7198815724206349,0.21850198412698413,0.8895565703555119,0.8961671234031371,True,False,prediction_limited,nominal_prediction_limited
