request_id,sample_id,layer,expected_calls,dispatch_calls,tokens,pairs,id_mismatches,weight_mismatches,max_abs_weight_error
0,wikitext2-00044,0,17,17,301,1204,0,0,0.0
0,wikitext2-00044,1,17,17,301,1204,0,0,0.0
0,wikitext2-00044,2,17,17,301,1204,0,0,0.0
0,wikitext2-00044,3,17,17,301,1204,0,0,0.0
0,wikitext2-00044,4,17,17,301,1204,0,0,0.0
0,wikitext2-00044,5,17,17,301,1204,0,0,0.0
0,wikitext2-00044,6,17,17,301,1204,0,0,0.0
0,wikitext2-00044,7,17,17,301,1204,0,0,0.0
0,wikitext2-00044,8,17,17,301,1204,0,0,0.0
0,wikitext2-00044,9,17,17,301,1204,0,0,0.0
0,wikitext2-00044,10,17,17,301,1204,0,0,0.0
0,wikitext2-00044,11,17,17,301,1204,0,0,0.0
0,wikitext2-00044,12,17,17,301,1204,0,0,0.0
0,wikitext2-00044,13,17,17,301,1204,0,0,0.0
0,wikitext2-00044,14,17,17,301,1204,0,0,0.0
0,wikitext2-00044,15,17,17,301,1204,0,0,0.0
0,wikitext2-00044,16,17,17,301,1204,0,0,0.0
0,wikitext2-00044,17,17,17,301,1204,0,0,0.0
0,wikitext2-00044,18,17,17,301,1204,0,0,0.0
0,wikitext2-00044,19,17,17,301,1204,0,0,0.0
0,wikitext2-00044,20,17,17,301,1204,0,0,0.0
0,wikitext2-00044,21,17,17,301,1204,0,0,0.0
0,wikitext2-00044,22,17,17,301,1204,0,0,0.0
0,wikitext2-00044,23,17,17,301,1204,0,0,0.0
1,wikitext2-00032,0,17,17,237,948,0,0,0.0
1,wikitext2-00032,1,17,17,237,948,0,0,0.0
1,wikitext2-00032,2,17,17,237,948,0,0,0.0
1,wikitext2-00032,3,17,17,237,948,0,0,0.0
1,wikitext2-00032,4,17,17,237,948,0,0,0.0
1,wikitext2-00032,5,17,17,237,948,0,0,0.0
1,wikitext2-00032,6,17,17,237,948,0,0,0.0
1,wikitext2-00032,7,17,17,237,948,0,0,0.0
1,wikitext2-00032,8,17,17,237,948,0,0,0.0
1,wikitext2-00032,9,17,17,237,948,0,0,0.0
1,wikitext2-00032,10,17,17,237,948,0,0,0.0
1,wikitext2-00032,11,17,17,237,948,0,0,0.0
1,wikitext2-00032,12,17,17,237,948,0,0,0.0
1,wikitext2-00032,13,17,17,237,948,0,0,0.0
1,wikitext2-00032,14,17,17,237,948,0,0,0.0
1,wikitext2-00032,15,17,17,237,948,0,0,0.0
1,wikitext2-00032,16,17,17,237,948,0,0,0.0
1,wikitext2-00032,17,17,17,237,948,0,0,0.0
1,wikitext2-00032,18,17,17,237,948,0,0,0.0
1,wikitext2-00032,19,17,17,237,948,0,0,0.0
1,wikitext2-00032,20,17,17,237,948,0,0,0.0
1,wikitext2-00032,21,17,17,237,948,0,0,0.0
1,wikitext2-00032,22,17,17,237,948,0,0,0.0
1,wikitext2-00032,23,17,17,237,948,0,0,0.0
2,gsm8k-00041,0,17,17,141,564,0,0,0.0
2,gsm8k-00041,1,17,17,141,564,0,0,0.0
2,gsm8k-00041,2,17,17,141,564,0,0,0.0
2,gsm8k-00041,3,17,17,141,564,0,0,0.0
2,gsm8k-00041,4,17,17,141,564,0,0,0.0
2,gsm8k-00041,5,17,17,141,564,0,0,0.0
2,gsm8k-00041,6,17,17,141,564,0,0,0.0
2,gsm8k-00041,7,17,17,141,564,0,0,0.0
2,gsm8k-00041,8,17,17,141,564,0,0,0.0
2,gsm8k-00041,9,17,17,141,564,0,0,0.0
2,gsm8k-00041,10,17,17,141,564,0,0,0.0
2,gsm8k-00041,11,17,17,141,564,0,0,0.0
2,gsm8k-00041,12,17,17,141,564,0,0,0.0
2,gsm8k-00041,13,17,17,141,564,0,0,0.0
2,gsm8k-00041,14,17,17,141,564,0,0,0.0
2,gsm8k-00041,15,17,17,141,564,0,0,0.0
2,gsm8k-00041,16,17,17,141,564,0,0,0.0
2,gsm8k-00041,17,17,17,141,564,0,0,0.0
2,gsm8k-00041,18,17,17,141,564,0,0,0.0
2,gsm8k-00041,19,17,17,141,564,0,0,0.0
2,gsm8k-00041,20,17,17,141,564,0,0,0.0
2,gsm8k-00041,21,17,17,141,564,0,0,0.0
2,gsm8k-00041,22,17,17,141,564,0,0,0.0
2,gsm8k-00041,23,17,17,141,564,0,0,0.0
3,mt_bench-35264271,0,17,17,105,420,0,0,0.0
3,mt_bench-35264271,1,17,17,105,420,0,0,0.0
3,mt_bench-35264271,2,17,17,105,420,0,0,0.0
3,mt_bench-35264271,3,17,17,105,420,0,0,0.0
3,mt_bench-35264271,4,17,17,105,420,0,0,0.0
3,mt_bench-35264271,5,17,17,105,420,0,0,0.0
3,mt_bench-35264271,6,17,17,105,420,0,0,0.0
3,mt_bench-35264271,7,17,17,105,420,0,0,0.0
3,mt_bench-35264271,8,17,17,105,420,0,0,0.0
3,mt_bench-35264271,9,17,17,105,420,0,0,0.0
3,mt_bench-35264271,10,17,17,105,420,0,0,0.0
3,mt_bench-35264271,11,17,17,105,420,0,0,0.0
3,mt_bench-35264271,12,17,17,105,420,0,0,0.0
3,mt_bench-35264271,13,17,17,105,420,0,0,0.0
3,mt_bench-35264271,14,17,17,105,420,0,0,0.0
3,mt_bench-35264271,15,17,17,105,420,0,0,0.0
3,mt_bench-35264271,16,17,17,105,420,0,0,0.0
3,mt_bench-35264271,17,17,17,105,420,0,0,0.0
3,mt_bench-35264271,18,17,17,105,420,0,0,0.0
3,mt_bench-35264271,19,17,17,105,420,0,0,0.0
3,mt_bench-35264271,20,17,17,105,420,0,0,0.0
3,mt_bench-35264271,21,17,17,105,420,0,0,0.0
3,mt_bench-35264271,22,17,17,105,420,0,0,0.0
3,mt_bench-35264271,23,17,17,105,420,0,0,0.0
4,wikitext2-00037,0,17,17,454,1816,0,0,0.0
4,wikitext2-00037,1,17,17,454,1816,0,0,0.0
4,wikitext2-00037,2,17,17,454,1816,0,0,0.0
4,wikitext2-00037,3,17,17,454,1816,0,0,0.0
4,wikitext2-00037,4,17,17,454,1816,0,0,0.0
4,wikitext2-00037,5,17,17,454,1816,0,0,0.0
4,wikitext2-00037,6,17,17,454,1816,0,0,0.0
4,wikitext2-00037,7,17,17,454,1816,0,0,0.0
4,wikitext2-00037,8,17,17,454,1816,0,0,0.0
4,wikitext2-00037,9,17,17,454,1816,0,0,0.0
4,wikitext2-00037,10,17,17,454,1816,0,0,0.0
4,wikitext2-00037,11,17,17,454,1816,0,0,0.0
4,wikitext2-00037,12,17,17,454,1816,0,0,0.0
4,wikitext2-00037,13,17,17,454,1816,0,0,0.0
4,wikitext2-00037,14,17,17,454,1816,0,0,0.0
4,wikitext2-00037,15,17,17,454,1816,0,0,0.0
4,wikitext2-00037,16,17,17,454,1816,0,0,0.0
4,wikitext2-00037,17,17,17,454,1816,0,0,0.0
4,wikitext2-00037,18,17,17,454,1816,0,0,0.0
4,wikitext2-00037,19,17,17,454,1816,0,0,0.0
4,wikitext2-00037,20,17,17,454,1816,0,0,0.0
4,wikitext2-00037,21,17,17,454,1816,0,0,0.0
4,wikitext2-00037,22,17,17,454,1816,0,0,0.0
4,wikitext2-00037,23,17,17,454,1816,0,0,0.0
5,humaneval-HumanEval_38,0,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,1,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,2,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,3,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,4,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,5,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,6,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,7,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,8,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,9,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,10,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,11,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,12,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,13,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,14,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,15,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,16,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,17,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,18,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,19,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,20,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,21,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,22,17,17,242,968,0,0,0.0
5,humaneval-HumanEval_38,23,17,17,242,968,0,0,0.0
6,gsm8k-00040,0,17,17,157,628,0,0,0.0
6,gsm8k-00040,1,17,17,157,628,0,0,0.0
6,gsm8k-00040,2,17,17,157,628,0,0,0.0
6,gsm8k-00040,3,17,17,157,628,0,0,0.0
6,gsm8k-00040,4,17,17,157,628,0,0,0.0
6,gsm8k-00040,5,17,17,157,628,0,0,0.0
6,gsm8k-00040,6,17,17,157,628,0,0,0.0
6,gsm8k-00040,7,17,17,157,628,0,0,0.0
6,gsm8k-00040,8,17,17,157,628,0,0,0.0
6,gsm8k-00040,9,17,17,157,628,0,0,0.0
6,gsm8k-00040,10,17,17,157,628,0,0,0.0
6,gsm8k-00040,11,17,17,157,628,0,0,0.0
6,gsm8k-00040,12,17,17,157,628,0,0,0.0
6,gsm8k-00040,13,17,17,157,628,0,0,0.0
6,gsm8k-00040,14,17,17,157,628,0,0,0.0
6,gsm8k-00040,15,17,17,157,628,0,0,0.0
6,gsm8k-00040,16,17,17,157,628,0,0,0.0
6,gsm8k-00040,17,17,17,157,628,0,0,0.0
6,gsm8k-00040,18,17,17,157,628,0,0,0.0
6,gsm8k-00040,19,17,17,157,628,0,0,0.0
6,gsm8k-00040,20,17,17,157,628,0,0,0.0
6,gsm8k-00040,21,17,17,157,628,0,0,0.0
6,gsm8k-00040,22,17,17,157,628,0,0,0.0
6,gsm8k-00040,23,17,17,157,628,0,0,0.0
7,wikitext2-00043,0,17,17,241,964,0,0,0.0
7,wikitext2-00043,1,17,17,241,964,0,0,0.0
7,wikitext2-00043,2,17,17,241,964,0,0,0.0
7,wikitext2-00043,3,17,17,241,964,0,0,0.0
7,wikitext2-00043,4,17,17,241,964,0,0,0.0
7,wikitext2-00043,5,17,17,241,964,0,0,0.0
7,wikitext2-00043,6,17,17,241,964,0,0,0.0
7,wikitext2-00043,7,17,17,241,964,0,0,0.0
7,wikitext2-00043,8,17,17,241,964,0,0,0.0
7,wikitext2-00043,9,17,17,241,964,0,0,0.0
7,wikitext2-00043,10,17,17,241,964,0,0,0.0
7,wikitext2-00043,11,17,17,241,964,0,0,0.0
7,wikitext2-00043,12,17,17,241,964,0,0,0.0
7,wikitext2-00043,13,17,17,241,964,0,0,0.0
7,wikitext2-00043,14,17,17,241,964,0,0,0.0
7,wikitext2-00043,15,17,17,241,964,0,0,0.0
7,wikitext2-00043,16,17,17,241,964,0,0,0.0
7,wikitext2-00043,17,17,17,241,964,0,0,0.0
7,wikitext2-00043,18,17,17,241,964,0,0,0.0
7,wikitext2-00043,19,17,17,241,964,0,0,0.0
7,wikitext2-00043,20,17,17,241,964,0,0,0.0
7,wikitext2-00043,21,17,17,241,964,0,0,0.0
7,wikitext2-00043,22,17,17,241,964,0,0,0.0
7,wikitext2-00043,23,17,17,241,964,0,0,0.0
8,mt_bench-30350920,0,17,17,158,632,0,0,0.0
8,mt_bench-30350920,1,17,17,158,632,0,0,0.0
8,mt_bench-30350920,2,17,17,158,632,0,0,0.0
8,mt_bench-30350920,3,17,17,158,632,0,0,0.0
8,mt_bench-30350920,4,17,17,158,632,0,0,0.0
8,mt_bench-30350920,5,17,17,158,632,0,0,0.0
8,mt_bench-30350920,6,17,17,158,632,0,0,0.0
8,mt_bench-30350920,7,17,17,158,632,0,0,0.0
8,mt_bench-30350920,8,17,17,158,632,0,0,0.0
8,mt_bench-30350920,9,17,17,158,632,0,0,0.0
8,mt_bench-30350920,10,17,17,158,632,0,0,0.0
8,mt_bench-30350920,11,17,17,158,632,0,0,0.0
8,mt_bench-30350920,12,17,17,158,632,0,0,0.0
8,mt_bench-30350920,13,17,17,158,632,0,0,0.0
8,mt_bench-30350920,14,17,17,158,632,0,0,0.0
8,mt_bench-30350920,15,17,17,158,632,0,0,0.0
8,mt_bench-30350920,16,17,17,158,632,0,0,0.0
8,mt_bench-30350920,17,17,17,158,632,0,0,0.0
8,mt_bench-30350920,18,17,17,158,632,0,0,0.0
8,mt_bench-30350920,19,17,17,158,632,0,0,0.0
8,mt_bench-30350920,20,17,17,158,632,0,0,0.0009765625
8,mt_bench-30350920,21,17,17,158,632,0,0,0.0
8,mt_bench-30350920,22,17,17,158,632,0,0,0.0
8,mt_bench-30350920,23,17,17,158,632,0,0,0.0
9,gsm8k-00047,0,17,17,202,808,0,0,0.0
9,gsm8k-00047,1,17,17,202,808,0,0,0.0
9,gsm8k-00047,2,17,17,202,808,0,0,0.0
9,gsm8k-00047,3,17,17,202,808,0,0,0.0
9,gsm8k-00047,4,17,17,202,808,0,0,0.0
9,gsm8k-00047,5,17,17,202,808,0,0,0.0
9,gsm8k-00047,6,17,17,202,808,0,0,0.0
9,gsm8k-00047,7,17,17,202,808,0,0,0.0
9,gsm8k-00047,8,17,17,202,808,0,0,0.0
9,gsm8k-00047,9,17,17,202,808,0,0,0.0
9,gsm8k-00047,10,17,17,202,808,0,0,0.0
9,gsm8k-00047,11,17,17,202,808,0,0,0.0
9,gsm8k-00047,12,17,17,202,808,0,0,0.0
9,gsm8k-00047,13,17,17,202,808,0,0,0.0
9,gsm8k-00047,14,17,17,202,808,0,0,0.0
9,gsm8k-00047,15,17,17,202,808,0,0,0.0
9,gsm8k-00047,16,17,17,202,808,0,0,0.0
9,gsm8k-00047,17,17,17,202,808,0,0,0.0
9,gsm8k-00047,18,17,17,202,808,0,0,0.0
9,gsm8k-00047,19,17,17,202,808,0,0,0.0
9,gsm8k-00047,20,17,17,202,808,0,0,0.0
9,gsm8k-00047,21,17,17,202,808,0,0,0.0
9,gsm8k-00047,22,17,17,202,808,0,0,0.0
9,gsm8k-00047,23,17,17,202,808,0,0,0.0
10,mt_bench-50530142,0,17,17,105,420,0,0,0.0
10,mt_bench-50530142,1,17,17,105,420,0,0,0.0
10,mt_bench-50530142,2,17,17,105,420,0,0,0.0
10,mt_bench-50530142,3,17,17,105,420,0,0,0.0
10,mt_bench-50530142,4,17,17,105,420,0,0,0.0
10,mt_bench-50530142,5,17,17,105,420,0,0,0.0
10,mt_bench-50530142,6,17,17,105,420,0,0,0.0
10,mt_bench-50530142,7,17,17,105,420,0,0,0.0
10,mt_bench-50530142,8,17,17,105,420,0,0,0.0
10,mt_bench-50530142,9,17,17,105,420,0,0,0.0
10,mt_bench-50530142,10,17,17,105,420,0,0,0.0
10,mt_bench-50530142,11,17,17,105,420,0,0,0.0
10,mt_bench-50530142,12,17,17,105,420,0,0,0.0
10,mt_bench-50530142,13,17,17,105,420,0,0,0.0
10,mt_bench-50530142,14,17,17,105,420,0,0,0.0
10,mt_bench-50530142,15,17,17,105,420,0,0,0.0
10,mt_bench-50530142,16,17,17,105,420,0,0,0.0
10,mt_bench-50530142,17,17,17,105,420,0,0,0.0
10,mt_bench-50530142,18,17,17,105,420,0,0,0.0
10,mt_bench-50530142,19,17,17,105,420,0,0,0.0
10,mt_bench-50530142,20,17,17,105,420,0,0,0.0
10,mt_bench-50530142,21,17,17,105,420,0,0,0.0
10,mt_bench-50530142,22,17,17,105,420,0,0,0.0
10,mt_bench-50530142,23,17,17,105,420,0,0,0.0
11,humaneval-HumanEval_56,0,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,1,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,2,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,3,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,4,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,5,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,6,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,7,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,8,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,9,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,10,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,11,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,12,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,13,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,14,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,15,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,16,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,17,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,18,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,19,17,17,176,704,0,0,0.0009765625
11,humaneval-HumanEval_56,20,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,21,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,22,17,17,176,704,0,0,0.0
11,humaneval-HumanEval_56,23,17,17,176,704,0,0,0.0
12,mt_bench-32663300,0,17,17,100,400,0,0,0.0
12,mt_bench-32663300,1,17,17,100,400,0,0,0.0
12,mt_bench-32663300,2,17,17,100,400,0,0,0.0
12,mt_bench-32663300,3,17,17,100,400,0,0,0.0
12,mt_bench-32663300,4,17,17,100,400,0,0,0.0
12,mt_bench-32663300,5,17,17,100,400,0,0,0.0
12,mt_bench-32663300,6,17,17,100,400,0,0,0.0
12,mt_bench-32663300,7,17,17,100,400,0,0,0.0
12,mt_bench-32663300,8,17,17,100,400,0,0,0.0
12,mt_bench-32663300,9,17,17,100,400,0,0,0.0
12,mt_bench-32663300,10,17,17,100,400,0,0,0.0
12,mt_bench-32663300,11,17,17,100,400,0,0,0.0
12,mt_bench-32663300,12,17,17,100,400,0,0,0.0
12,mt_bench-32663300,13,17,17,100,400,0,0,0.0
12,mt_bench-32663300,14,17,17,100,400,0,0,0.0
12,mt_bench-32663300,15,17,17,100,400,0,0,0.0
12,mt_bench-32663300,16,17,17,100,400,0,0,0.0
12,mt_bench-32663300,17,17,17,100,400,0,0,0.0
12,mt_bench-32663300,18,17,17,100,400,0,0,0.0
12,mt_bench-32663300,19,17,17,100,400,0,0,0.0
12,mt_bench-32663300,20,17,17,100,400,0,0,0.0
12,mt_bench-32663300,21,17,17,100,400,0,0,0.0
12,mt_bench-32663300,22,17,17,100,400,0,0,0.0
12,mt_bench-32663300,23,17,17,100,400,0,0,0.0
13,gsm8k-00042,0,17,17,125,500,0,0,0.0
13,gsm8k-00042,1,17,17,125,500,0,0,0.0
13,gsm8k-00042,2,17,17,125,500,0,0,0.0
13,gsm8k-00042,3,17,17,125,500,0,0,0.0
13,gsm8k-00042,4,17,17,125,500,0,0,0.0
13,gsm8k-00042,5,17,17,125,500,0,0,0.0
13,gsm8k-00042,6,17,17,125,500,0,0,0.0
13,gsm8k-00042,7,17,17,125,500,0,0,0.0
13,gsm8k-00042,8,17,17,125,500,0,0,0.0
13,gsm8k-00042,9,17,17,125,500,0,0,0.0
13,gsm8k-00042,10,17,17,125,500,0,0,0.0
13,gsm8k-00042,11,17,17,125,500,0,0,0.0
13,gsm8k-00042,12,17,17,125,500,0,0,0.0
13,gsm8k-00042,13,17,17,125,500,0,0,0.0
13,gsm8k-00042,14,17,17,125,500,0,0,0.0
13,gsm8k-00042,15,17,17,125,500,0,0,0.0
13,gsm8k-00042,16,17,17,125,500,0,0,0.0
13,gsm8k-00042,17,17,17,125,500,0,0,0.0
13,gsm8k-00042,18,17,17,125,500,0,0,0.0
13,gsm8k-00042,19,17,17,125,500,0,0,0.0
13,gsm8k-00042,20,17,17,125,500,0,0,0.0
13,gsm8k-00042,21,17,17,125,500,0,0,0.0
13,gsm8k-00042,22,17,17,125,500,0,0,0.0
13,gsm8k-00042,23,17,17,125,500,0,0,0.0
14,wikitext2-00040,0,17,17,173,692,0,0,0.0
14,wikitext2-00040,1,17,17,173,692,0,0,0.0
14,wikitext2-00040,2,17,17,173,692,0,0,0.0
14,wikitext2-00040,3,17,17,173,692,0,0,0.0
14,wikitext2-00040,4,17,17,173,692,0,0,0.0
14,wikitext2-00040,5,17,17,173,692,0,0,0.0
14,wikitext2-00040,6,17,17,173,692,0,0,0.0
14,wikitext2-00040,7,17,17,173,692,0,0,0.0
14,wikitext2-00040,8,17,17,173,692,0,0,0.0
14,wikitext2-00040,9,17,17,173,692,0,0,0.0
14,wikitext2-00040,10,17,17,173,692,0,0,0.0
14,wikitext2-00040,11,17,17,173,692,0,0,0.0
14,wikitext2-00040,12,17,17,173,692,0,0,0.0
14,wikitext2-00040,13,17,17,173,692,0,0,0.0
14,wikitext2-00040,14,17,17,173,692,0,0,0.0
14,wikitext2-00040,15,17,17,173,692,0,0,0.0
14,wikitext2-00040,16,17,17,173,692,0,0,0.0
14,wikitext2-00040,17,17,17,173,692,0,0,0.0
14,wikitext2-00040,18,17,17,173,692,0,0,0.0
14,wikitext2-00040,19,17,17,173,692,0,0,0.0
14,wikitext2-00040,20,17,17,173,692,0,0,0.0
14,wikitext2-00040,21,17,17,173,692,0,0,0.0
14,wikitext2-00040,22,17,17,173,692,0,0,0.0
14,wikitext2-00040,23,17,17,173,692,0,0,0.0
15,gsm8k-00036,0,17,17,168,672,0,0,0.0
15,gsm8k-00036,1,17,17,168,672,0,0,0.0
15,gsm8k-00036,2,17,17,168,672,0,0,0.0
15,gsm8k-00036,3,17,17,168,672,0,0,0.0
15,gsm8k-00036,4,17,17,168,672,0,0,0.0
15,gsm8k-00036,5,17,17,168,672,0,0,0.0
15,gsm8k-00036,6,17,17,168,672,0,0,0.0
15,gsm8k-00036,7,17,17,168,672,0,0,0.0
15,gsm8k-00036,8,17,17,168,672,0,0,0.0
15,gsm8k-00036,9,17,17,168,672,0,0,0.0
