phase,domain,layer_id,tokens_per_half,split_half_jensen_shannon_divergence,split_half_hotset_jaccard
prefill,code,0,2213,0.003432728064508664,0.7777777777777778
prefill,conversation,0,951,0.016377373325984806,0.14285714285714285
prefill,general,0,2783,0.003262068387364971,0.7777777777777778
prefill,math,0,1011,0.0020695231908462643,0.7777777777777778
prefill,code,1,2213,0.002426445464781695,0.6
prefill,conversation,1,951,0.013195758408948733,0.14285714285714285
prefill,general,1,2783,0.002159936927775841,0.7777777777777778
prefill,math,1,1011,0.0032137721107192967,0.7777777777777778
prefill,code,2,2213,0.00299449312613958,0.7777777777777778
prefill,conversation,2,951,0.01762893638062399,0.3333333333333333
prefill,general,2,2783,0.00266949804932317,0.6
prefill,math,2,1011,0.004802287860803641,0.6
prefill,code,3,2213,0.0022891616099589528,0.7777777777777778
prefill,conversation,3,951,0.01989397296192432,0.23076923076923078
prefill,general,3,2783,0.002852076737438842,0.45454545454545453
prefill,math,3,1011,0.0033659391946415534,0.6
prefill,code,4,2213,0.0038708451972584183,0.7777777777777778
prefill,conversation,4,951,0.026320836335482396,0.23076923076923078
prefill,general,4,2783,0.004366248831689779,0.7777777777777778
prefill,math,4,1011,0.0042281866429139375,0.6
prefill,code,5,2213,0.005628576574404472,0.7777777777777778
prefill,conversation,5,951,0.029414985982136994,0.3333333333333333
prefill,general,5,2783,0.00507118694552635,0.7777777777777778
prefill,math,5,1011,0.007555521648074656,0.7777777777777778
prefill,code,6,2213,0.0031317140346894677,1.0
prefill,conversation,6,951,0.03799618471243521,0.3333333333333333
prefill,general,6,2783,0.006176018475878126,0.7777777777777778
prefill,math,6,1011,0.0069655321389781154,0.7777777777777778
prefill,code,7,2213,0.003946429490469779,1.0
prefill,conversation,7,951,0.02943508729130093,0.23076923076923078
prefill,general,7,2783,0.004323818763065172,0.7777777777777778
prefill,math,7,1011,0.004644524244667384,1.0
prefill,code,8,2213,0.0030781287534574816,1.0
prefill,conversation,8,951,0.02425743244586499,0.23076923076923078
prefill,general,8,2783,0.0028169627980884617,0.7777777777777778
prefill,math,8,1011,0.002940476054516254,0.7777777777777778
prefill,code,9,2213,0.003324303751357006,0.7777777777777778
prefill,conversation,9,951,0.017871996759862917,0.14285714285714285
prefill,general,9,2783,0.003261387132783038,0.7777777777777778
prefill,math,9,1011,0.0020594831655446704,0.6
prefill,code,10,2213,0.0033016147473164045,0.7777777777777778
prefill,conversation,10,951,0.020584570586213855,0.14285714285714285
prefill,general,10,2783,0.004011653541909838,1.0
prefill,math,10,1011,0.002748274150988152,0.7777777777777778
prefill,code,11,2213,0.0036542496816769697,1.0
prefill,conversation,11,951,0.020181397144725187,0.14285714285714285
prefill,general,11,2783,0.004367843754108366,0.6
prefill,math,11,1011,0.003912949519034509,0.7777777777777778
prefill,code,12,2213,0.003833024578190177,1.0
prefill,conversation,12,951,0.017446522629082823,0.3333333333333333
prefill,general,12,2783,0.006329585520959614,0.7777777777777778
prefill,math,12,1011,0.0025026788906458734,0.7777777777777778
prefill,code,13,2213,0.00394001805142137,1.0
prefill,conversation,13,951,0.016000728267461344,0.14285714285714285
prefill,general,13,2783,0.00480049393273581,0.6
prefill,math,13,1011,0.00371836922492801,0.7777777777777778
prefill,code,14,2213,0.0033158051803400287,0.7777777777777778
prefill,conversation,14,951,0.027946165102861707,0.23076923076923078
prefill,general,14,2783,0.003322612597327603,0.45454545454545453
prefill,math,14,1011,0.0061429691342408345,1.0
prefill,code,15,2213,0.004790156655431345,0.7777777777777778
prefill,conversation,15,951,0.027115235563900573,0.23076923076923078
prefill,general,15,2783,0.004263667098609248,0.7777777777777778
prefill,math,15,1011,0.00371594466806468,0.6
