phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,1,43,16,1447,0.012995760885184653
prefill,__all__,1,44,13,1444,0.012968817358815922
prefill,__all__,1,45,50,1286,0.011549791636729416
prefill,__all__,1,46,36,1255,0.01127137519758586
prefill,__all__,1,47,52,1230,0.011046845811179767
prefill,__all__,1,48,58,1228,0.01102888346026728
prefill,__all__,1,49,3,1225,0.01100193993389855
prefill,__all__,1,50,2,1207,0.010840278775686161
prefill,__all__,1,51,55,1154,0.010364276476505245
prefill,__all__,1,52,4,1138,0.010220577669205345
prefill,__all__,1,53,0,1119,0.010049935335536716
prefill,__all__,1,54,26,1067,0.009582914211812042
prefill,__all__,1,55,22,1025,0.009205704842649806
prefill,__all__,1,56,6,1022,0.009178761316281075
prefill,__all__,1,57,56,964,0.00865785313981894
prefill,__all__,1,58,57,962,0.008639890788906451
prefill,__all__,1,59,46,945,0.008487210806150308
prefill,__all__,1,60,33,882,0.007921396752406955
prefill,__all__,1,61,28,878,0.00788547205058198
prefill,__all__,1,62,38,838,0.007526225032332232
prefill,__all__,1,63,10,767,0.006888561574938928
prefill,__all__,1,64,43,717,0.006439502802126742
prefill,__all__,2,1,40,4768,0.042822244575370025
prefill,__all__,2,2,60,3240,0.029099008478229632
prefill,__all__,2,3,5,3079,0.02765303922977439
prefill,__all__,2,4,34,3073,0.027599152177036932
prefill,__all__,2,5,45,2584,0.023207357378933754
prefill,__all__,2,6,14,2572,0.023099583273458832
prefill,__all__,2,7,9,2397,0.02152787756861618
prefill,__all__,2,8,16,2362,0.02121353642764765
prefill,__all__,2,9,58,2267,0.020360324759304497
prefill,__all__,2,10,61,2236,0.020081908320160942
prefill,__all__,2,11,22,2228,0.020010058916510993
prefill,__all__,2,12,38,2201,0.019767567179192414
prefill,__all__,2,13,4,2158,0.019381376634573934
prefill,__all__,2,14,35,2150,0.019309527230923985
prefill,__all__,2,15,24,2138,0.01920175312544906
prefill,__all__,2,16,59,2011,0.01806114384250611
prefill,__all__,2,17,63,1993,0.01789948268429372
prefill,__all__,2,18,29,1970,0.017692915648800114
prefill,__all__,2,19,62,1968,0.017674953297887628
prefill,__all__,2,20,57,1907,0.01712710159505676
prefill,__all__,2,21,26,1877,0.01685766633136945
prefill,__all__,2,22,30,1866,0.01675887340135077
prefill,__all__,2,23,28,1864,0.016740911050438283
prefill,__all__,2,24,10,1847,0.01658823106768214
prefill,__all__,2,25,32,1829,0.01642656990946975
prefill,__all__,2,26,23,1822,0.016363701681276044
prefill,__all__,2,27,46,1798,0.016148153470326197
prefill,__all__,2,28,36,1787,0.016049360540307516
prefill,__all__,2,29,15,1746,0.015681132346601522
prefill,__all__,2,30,47,1746,0.015681132346601522
prefill,__all__,2,31,19,1711,0.015366791205632993
prefill,__all__,2,32,12,1700,0.015267998275614312
prefill,__all__,2,33,21,1696,0.015232073573789338
prefill,__all__,2,34,1,1636,0.014693203046414714
prefill,__all__,2,35,20,1623,0.014576447765483546
prefill,__all__,2,36,41,1605,0.01441478660727116
prefill,__all__,2,37,48,1597,0.01434293720362121
prefill,__all__,2,38,54,1545,0.013875916079896538
prefill,__all__,2,39,44,1539,0.013822029027159075
prefill,__all__,2,40,56,1519,0.0136424055180342
prefill,__all__,2,41,39,1508,0.01354361258801552
prefill,__all__,2,42,33,1500,0.013471763184365569
prefill,__all__,2,43,7,1478,0.013274177324328208
prefill,__all__,2,44,27,1436,0.012896967955165973
prefill,__all__,2,45,8,1417,0.012726325621497342
prefill,__all__,2,46,3,1376,0.01235809742779135
prefill,__all__,2,47,0,1344,0.012070699813191551
prefill,__all__,2,48,53,1321,0.011864132777697945
prefill,__all__,2,49,13,1282,0.01151386693490444
prefill,__all__,2,50,25,1239,0.011127676390285961
prefill,__all__,2,51,37,1191,0.010696579968386263
prefill,__all__,2,52,49,1161,0.010427144704698951
prefill,__all__,2,53,6,1157,0.010391220002873977
prefill,__all__,2,54,50,1150,0.01032835177468027
prefill,__all__,2,55,18,1147,0.01030140824831154
prefill,__all__,2,56,52,1140,0.010238540020117834
prefill,__all__,2,57,11,1129,0.010139747090099151
prefill,__all__,2,58,43,982,0.008819514298031326
prefill,__all__,2,59,2,925,0.008307587297025435
prefill,__all__,2,60,17,908,0.008154907314269292
prefill,__all__,2,61,55,879,0.007894453226038224
prefill,__all__,2,62,31,820,0.007364563874119844
prefill,__all__,2,63,42,698,0.006268860468458112
prefill,__all__,2,64,51,501,0.0044995689035781
prefill,__all__,3,1,15,3909,0.03510741485845668
prefill,__all__,3,2,52,3886,0.03490084782296307
prefill,__all__,3,3,9,3496,0.031398189395028024
prefill,__all__,3,4,43,3361,0.03018573070843512
prefill,__all__,3,5,62,2842,0.025524500646644632
prefill,__all__,3,6,31,2835,0.025461632418450928
prefill,__all__,3,7,30,2696,0.02421324903003305
prefill,__all__,3,8,61,2646,0.023764190257220864
prefill,__all__,3,9,20,2591,0.02327022560712746
prefill,__all__,3,10,19,2422,0.021752406955022275
prefill,__all__,3,11,12,2417,0.021707501077741054
prefill,__all__,3,12,49,2303,0.020683647075729273
prefill,__all__,3,13,59,2289,0.020557910619341858
prefill,__all__,3,14,38,2239,0.020108851846529673
prefill,__all__,3,15,23,2204,0.019794510705561146
prefill,__all__,3,16,42,2149,0.01930054605546774
prefill,__all__,3,17,45,2064,0.018537146141687024
prefill,__all__,3,18,22,2057,0.018474277913493316
prefill,__all__,3,19,37,2011,0.01806114384250611
prefill,__all__,3,20,56,1963,0.01763004742060641
prefill,__all__,3,21,54,1956,0.017567179192412703
prefill,__all__,3,22,29,1953,0.01754023566604397
prefill,__all__,3,23,33,1938,0.017405518034200314
prefill,__all__,3,24,40,1922,0.017261819226900416
prefill,__all__,3,25,48,1921,0.01725283805144417
