phase,domain,layer_id,num_experts,n_tokens,n_selections,entropy,normalized_entropy,gini,max_to_median,utilization_variance,top_1_coverage,top_2_coverage,top_4_coverage,top_8_coverage,top_16_coverage
decode,__all__,0,64,8011,64088,4.091864623461355,0.9838854667094471,0.18604301897391087,2.9385113268608416,156552.859375,0.04250405692173262,0.08157533391586569,0.13830982399201097,0.22426975408812883,0.370896267632006
decode,__all__,1,64,8011,64088,4.097223400710164,0.9851739802697947,0.18284721788790415,2.5359202936549554,140456.734375,0.03772937211334415,0.07416364998127574,0.13573523904631132,0.21868368493321683,0.36777555860691546
decode,__all__,2,64,8011,64088,4.102948418812758,0.9865505561407301,0.1798342708463363,2.5881115202524985,119052.640625,0.038384721008613155,0.06873361627761827,0.11755710897515916,0.20359505679690426,0.35658781675196605
decode,__all__,3,64,8011,64088,4.051341484876418,0.974141711529823,0.2595878908688054,2.718604651162791,220123.609375,0.03648108850330795,0.06988827861690176,0.12847959056297592,0.2365653476469854,0.4167550867557109
decode,__all__,4,64,8011,64088,4.036061971941325,0.9704677652733801,0.26594048417800525,3.9898762654668167,296139.609375,0.05534577455998003,0.09811509174884533,0.1583759830233429,0.2625140431906129,0.4263200599176133
decode,__all__,5,64,8011,64088,4.030396243020136,0.9691054454371101,0.27070980526775684,4.277522935779817,322173.390625,0.05820122331793783,0.10097054050680315,0.16683310448133817,0.2710647859193609,0.43020534265385096
decode,__all__,6,64,8011,64088,3.9796012262464497,0.9568918256368986,0.3272302342092123,3.789719626168224,421433.015625,0.050617900386967916,0.10111097241293222,0.1795655973037074,0.2988859068780427,0.4740200973661216
decode,__all__,7,64,8011,64088,3.9936399835365424,0.9602674332240086,0.3117461537261266,4.5388724035608305,385388.421875,0.05966795655973037,0.10527711896142804,0.16570964923230558,0.2751529147422294,0.456965422544002
decode,__all__,8,64,8011,64088,4.021382291853931,0.9669380483293936,0.2868721523530146,3.9737991266375547,318545.140625,0.05679690425664711,0.09494757208837848,0.15789227312445386,0.25647547122706277,0.4322338035201598
decode,__all__,9,64,8011,64088,4.024103339841878,0.967592322069099,0.2723749960991137,4.162726772952172,326425.734375,0.059075021844963174,0.10146985395081763,0.16853389090001247,0.26689863937086505,0.4240731494195481
decode,__all__,10,64,8011,64088,4.072152438139545,0.979145688041304,0.2243443585382599,3.278163374265884,192835.453125,0.04790288353513918,0.07747160154787168,0.1322244413930845,0.23019910123580078,0.3899794033204344
decode,__all__,11,64,8011,64088,4.033529900810821,0.9698589308628541,0.2648770050555486,3.82168409466153,303000.109375,0.05417550867557109,0.10037760579203595,0.16823742354262888,0.2559449506927974,0.41477343652477844
decode,__all__,12,64,8011,64088,4.059827053119402,0.9761820594003693,0.2415833502371739,3.441451346893898,231296.890625,0.04883909624266634,0.08572587691923605,0.14957558357258768,0.23977967794282862,0.400964299088753
decode,__all__,13,64,8011,64088,4.074978842210905,0.9798252945641872,0.22630016539757833,2.8274725274725276,176427.671875,0.04014792160778929,0.0698102608912745,0.12710647859193608,0.2247378604418924,0.3928348520783922
decode,__all__,14,64,8011,64088,4.089760011787727,0.9833794145720238,0.1996683271439271,2.104594330400782,135591.140625,0.03359443265509924,0.0657689427037823,0.11811883659967545,0.2035482461615279,0.3592716265135439
decode,__all__,15,64,8011,64088,4.091583702216215,0.9838179194282398,0.19894617557108976,2.3929446349828516,137777.078125,0.038103857196355014,0.06697041567844214,0.12088066408688054,0.20866620896267632,0.365793908375983
decode,code,0,64,2016,16128,3.947039922125718,0.9490624869735891,0.3301323784722222,6.733009708737864,35145.1875,0.08599950396825397,0.12028769841269842,0.18340773809523808,0.2935267857142857,0.46174355158730157
decode,code,1,64,2016,16128,3.842023666382837,0.9238114150780922,0.38631766183035715,8.290816326530612,66339.75,0.10075644841269842,0.17485119047619047,0.28639632936507936,0.3795262896825397,0.523499503968254
decode,code,2,64,2016,16128,3.746794650311113,0.9009136768721902,0.46618846106150796,10.544412607449857,80654.09375,0.11408730158730158,0.1847718253968254,0.28664434523809523,0.41313244047619047,0.5770089285714286
decode,code,3,64,2016,16128,3.7257735714942424,0.8958591758449843,0.4902615017361111,8.031088082901555,75337.625,0.0961061507936508,0.17466517857142858,0.2760416666666667,0.41455853174603174,0.5851314484126984
decode,code,4,64,2016,16128,3.523321852791274,0.8471798274129477,0.5857863653273809,11.121771217712178,117145.625,0.09343998015873016,0.18253968253968253,0.33618551587301587,0.5244295634920635,0.6888640873015873
decode,code,5,64,2016,16128,3.4021231484046046,0.8180376991161451,0.6352112785218254,14.639405204460967,150888.34375,0.12208581349206349,0.234375,0.3828125,0.5417286706349206,0.7212301587301587
decode,code,6,64,2016,16128,3.4314209246603307,0.8250823252016801,0.6306985522073413,14.809338521400779,133369.34375,0.11799355158730158,0.22767857142857142,0.34381200396825395,0.509796626984127,0.7253224206349206
decode,code,7,64,2016,16128,3.468256467238345,0.8339394009693061,0.6149553571428571,13.326460481099657,127473.25,0.12022569444444445,0.2087673611111111,0.3529885912698413,0.5040302579365079,0.7072792658730159
decode,code,8,64,2016,16128,3.52899201048934,0.8485432121449574,0.5814383370535714,14.48091603053435,124325.25,0.11762152777777778,0.2243923611111111,0.35497271825396826,0.4897073412698413,0.6839037698412699
decode,code,9,64,2016,16128,3.459039634731794,0.8317232212109885,0.6110374813988095,14.46743295019157,140052.1875,0.11706349206349206,0.21037946428571427,0.38950892857142855,0.5225694444444444,0.7057911706349206
decode,code,10,64,2016,16128,3.706310781888356,0.8911793641706047,0.49573528955853174,10.886227544910179,82046.6875,0.11272321428571429,0.1761532738095238,0.26556299603174605,0.4195808531746032,0.6174975198412699
decode,code,11,64,2016,16128,3.5172877844170807,0.845728940659642,0.5800258091517857,14.273764258555133,130258.90625,0.11638144841269842,0.22321428571428573,0.35714285714285715,0.5042162698412699,0.6832217261904762
decode,code,12,64,2016,16128,3.5658838940947613,0.8574138350660564,0.5709499782986112,11.342465753424657,100739.25,0.10267857142857142,0.17739335317460317,0.29464285714285715,0.4818328373015873,0.6834697420634921
decode,code,13,64,2016,16128,3.4999347351225216,0.8415564142993817,0.5918918185763888,13.752988047808765,129446.78125,0.1070188492063492,0.19562251984126985,0.35534474206349204,0.5402405753968254,0.7072792658730159
decode,code,14,64,2016,16128,3.627983410625355,0.872345612489438,0.5427924262152778,9.525316455696203,94005.1875,0.09331597222222222,0.1775793650793651,0.30431547619047616,0.45262896825396826,0.6516617063492064
decode,code,15,64,2016,16128,3.6194821797404715,0.8703014985495924,0.5507579985119048,9.931818181818182,88457.0625,0.08128720238095238,0.15854414682539683,0.3058655753968254,0.44140625,0.6304563492063492
decode,conversation,0,64,1964,15712,4.078408282610363,0.9806499006737409,0.2010883401221996,3.352808988764045,11916,0.04747963340122199,0.0932408350305499,0.1447937881873727,0.22708757637474541,0.3794551934826884
decode,conversation,1,64,1964,15712,4.106028110478545,0.9872910654563463,0.17794719004582485,2.1531914893617023,6309.40625,0.03220468431771894,0.059763238289205704,0.10864307535641547,0.19749236252545824,0.3543788187372709
decode,conversation,2,64,1964,15712,4.106128958583854,0.9873153142999151,0.17902518775458248,1.7644628099173554,5993.125,0.027176680244399187,0.051871181262729125,0.09909623217922607,0.1871181262729124,0.34858706720977595
decode,conversation,3,64,1964,15712,4.048263514549966,0.973401616108827,0.25613185781568226,2.371308016877637,12450.53125,0.03576883910386965,0.06409114052953156,0.11971741344195519,0.2225050916496945,0.3993762729124236
