phase,resident_capacity,lookahead,policy,standardized_score_threshold,eligible_cold_waves,cold_demand_experts,admitted_candidate_experts,useful_admitted_experts,false_admitted_experts,cold_expert_coverage,complete_cold_set_coverage,candidate_transfer_amplification,mean_admitted_experts_per_cold_wave,candidate_precision
decode,32,3,transition,0.25000000000000155,18582,43695,126533,31434,95099,0.7193958118777892,0.5208804219136799,4.02535471145893,6.809439242277473,0.24842531197395146
decode,32,3,linear,0.700000000000002,18582,43695,94840,31275,63565,0.7157569515962925,0.5142611129049618,3.0324540367705834,5.103863954364439,0.3297659215520877
decode,32,9,transition,0.05000000000000138,10025,25567,91023,18172,72851,0.7107599640161145,0.5092269326683292,5.008969843715606,9.079600997506235,0.19964184876349933
decode,32,9,linear,0.6500000000000021,10025,25567,58884,17932,40952,0.7013728634567998,0.503142144638404,3.283738567923266,5.873715710723192,0.30453094219142723
