phase,resident_capacity,lookahead,policy,candidate_class,bin_left,bin_right,bin_center,count,density
decode,32,3,transition,useful_cold,2.4125000000000005,2.5250000000000004,2.4687500000000004,839,0.17067805876594097
decode,32,3,transition,useful_cold,2.5250000000000004,2.6375,2.5812500000000003,717,0.14585955677613785
decode,32,3,transition,useful_cold,2.6375,2.75,2.69375,704,0.14321496230181457
decode,32,3,transition,useful_cold,2.75,2.8625,2.80625,692,0.14077379817167002
decode,32,3,transition,useful_cold,2.8625,2.9750000000000005,2.91875,612,0.12449937063737192
decode,32,3,transition,useful_cold,2.9750000000000005,3.0875000000000004,3.0312500000000004,548,0.11147982860993522
decode,32,3,transition,useful_cold,3.0875000000000004,3.2,3.1437500000000003,501,0.10191860243353566
decode,32,3,transition,useful_cold,3.2,3.3125,3.25625,483,0.09825685623831881
decode,32,3,transition,useful_cold,3.3125,3.425,3.36875,290,0.05899479981182703
decode,32,3,transition,useful_cold,3.425,3.5375000000000005,3.48125,225,0.045771827440210265
decode,32,3,transition,useful_cold,3.5375000000000005,3.6500000000000004,3.5937500000000004,209,0.042516941933351204
decode,32,3,transition,useful_cold,3.6500000000000004,3.7625,3.7062500000000003,176,0.035803740575453644
decode,32,3,transition,useful_cold,3.7625,3.875,3.81875,99,0.020139604073692675
decode,32,3,transition,useful_cold,3.875,3.9875,3.93125,79,0.016070997190118397
decode,32,3,transition,useful_cold,3.9875,4.1,4.043749999999999,60,0.012205820650722834
decode,32,3,transition,useful_cold,4.1,4.2125,4.15625,38,0.007730353078791066
decode,32,3,transition,useful_cold,4.2125,4.325000000000001,4.268750000000001,21,0.004272037227752958
decode,32,3,transition,useful_cold,4.325000000000001,4.4375,4.3812500000000005,5,0.0010171517208935775
decode,32,3,transition,useful_cold,4.4375,4.550000000000001,4.49375,12,0.0024411641301445475
decode,32,3,transition,useful_cold,4.550000000000001,4.6625,4.60625,3,0.0006102910325361464
decode,32,3,transition,useful_cold,4.6625,4.775,4.71875,3,0.0006102910325361369
decode,32,3,transition,useful_cold,4.775,4.887500000000001,4.831250000000001,4,0.0008137213767148491
decode,32,3,transition,useful_cold,4.887500000000001,5.0,4.9437500000000005,1,0.00020343034417871547
decode,32,3,transition,useless,-4.0,-3.8875,-3.94375,0,0.0
decode,32,3,transition,useless,-3.8875,-3.775,-3.83125,0,0.0
decode,32,3,transition,useless,-3.775,-3.6625,-3.71875,0,0.0
decode,32,3,transition,useless,-3.6625,-3.55,-3.60625,0,0.0
