phase,delta,candidate_count,baseline,requests,domains,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction,useful_candidate_amplification,brier_score
decode,2,12,source_copy,32,4,0.71923828125,0.23974609375,0.7375827702608975,0.34117542613636365,3.0,0.375,4.206861058691466,
decode,2,12,transition,32,4,0.9254705255681818,0.3084901751893939,0.9370495622808283,0.7666015625,3.0,0.375,3.2461091412072243,
decode,2,16,domain_static,32,4,0.9151722301136364,0.2287930575284091,0.9257211685180664,0.7338423295454546,4.0,0.5,4.381237303565042,
decode,2,16,global_static,32,4,0.8773304332386365,0.21933260830965912,0.8884890296242454,0.6494140625,4.0,0.5,4.572470789233954,
decode,2,16,learned,32,4,0.8628373579545454,0.21570933948863635,0.8771194111217151,0.6142578125,4.0,0.5,4.6508114064219095,0.08880587087547942
decode,2,16,source_copy,32,4,0.8419744318181818,0.21049360795454544,0.8552471941167659,0.5656072443181819,4.0,0.5,4.768087054402609,
decode,2,16,transition,32,4,0.9606489701704545,0.24016224254261362,0.9671612219376997,0.8653231534090909,4.0,0.5,4.166783573456869,
decode,3,4,domain_static,32,4,0.4601469494047619,0.4601469494047619,0.4840278625488282,0.05515252976190475,1.0,0.125,2.2066105067718365,
decode,3,4,global_static,32,4,0.4341052827380952,0.4341052827380952,0.4564535050165085,0.06008184523809525,1.0,0.125,2.352589153496912,
decode,3,4,learned,32,4,0.439267113095238,0.439267113095238,0.4633422124953497,0.057384672619047616,1.0,0.125,2.3247141477714313,0.08778906442880509
decode,3,4,source_copy,32,4,0.12179129464285714,0.12179129464285714,0.12435649690173921,9.300595238095238e-05,1.0,0.125,8.247615842325697,
decode,3,4,transition,32,4,0.6338355654761905,0.6338355654761905,0.6685924530029297,0.18340773809523808,1.0,0.125,1.589186952961277,
decode,3,8,domain_static,32,4,0.6884998139880952,0.3442499069940476,0.7094251995994931,0.29892113095238093,2.0,0.25,2.933480366943562,
decode,3,8,global_static,32,4,0.6393694196428572,0.3196847098214286,0.6576494035266695,0.24051339285714285,2.0,0.25,3.17514248309039,
