delta,cheap_comparator,learned_selection_coverage,transition_selection_coverage,cheap_selection_coverage,learned_minus_transition_selection_coverage,learned_minus_cheap_selection_coverage,learned_routed_mass_coverage,transition_routed_mass_coverage,cheap_routed_mass_coverage,learned_minus_transition_routed_mass_coverage,learned_minus_cheap_routed_mass_coverage,learned_complete_route_coverage,transition_complete_route_coverage,cheap_complete_route_coverage,learned_minus_transition_complete_route_coverage,learned_minus_cheap_complete_route_coverage,learned_minus_transition_selection_coverage_ci_low,learned_minus_transition_selection_coverage_ci_high,learned_minus_cheap_selection_coverage_ci_low,learned_minus_cheap_selection_coverage_ci_high,learned_minus_transition_routed_mass_coverage_ci_low,learned_minus_transition_routed_mass_coverage_ci_high,learned_minus_cheap_routed_mass_coverage_ci_low,learned_minus_cheap_routed_mass_coverage_ci_high,learned_minus_transition_complete_route_coverage_ci_low,learned_minus_transition_complete_route_coverage_ci_high,learned_minus_cheap_complete_route_coverage_ci_low,learned_minus_cheap_complete_route_coverage_ci_high,domain_selection_gains_json,check_absolute_selection,check_absolute_complete,check_transition_selection_noninferiority,check_transition_complete_noninferiority,check_cheap_selection_gain,check_all_domain_selection_gains_positive,pass
1,domain_static,0.6256368885869565,0.8626019021739131,0.681067425271739,-0.23696501358695654,-0.05543053668478248,0.6462065447931704,0.8819336061892302,0.7044783467831819,-0.2357270613960598,-0.058271801990011474,0.22868546195652173,0.6072520380434782,0.28464673913043476,-0.37856657608695643,-0.05596127717391303,-0.2443757430366848,-0.2294709578804348,-0.06129044242527183,-0.04957010020380434,-0.24414469781129253,-0.2271525569584059,-0.06449512502421502,-0.052037560421487446,-0.3853621773097826,-0.37168817934782616,-0.06343410326086957,-0.04840140964673911,"{""code"":-0.09714673913043481,""conversation"":-0.025645380434782705,""general"":-0.055281929347826164,""math"":-0.04364809782608692}",False,False,False,False,False,False,False
2,domain_static,0.6309925426136365,0.8552911931818181,0.6878995028409092,-0.22429865056818166,-0.05690696022727271,0.6511849490079014,0.8747953501614657,0.7098937901583585,-0.22361040115356434,-0.05870884115045716,0.21360085227272727,0.5941938920454546,0.29456676136363635,-0.3805930397727273,-0.08096590909090909,-0.2314453125,-0.21766135475852272,-0.06227805397727271,-0.05153586647727293,-0.2314488790251993,-0.21610869927839796,-0.06427743868394332,-0.05328832431273033,-0.3892955433238636,-0.3725142045454545,-0.08815696022727271,-0.07359730113636365,"{""code"":-0.10085227272727271,""conversation"":-0.023881392045454586,""general"":-0.05566406249999989,""math"":-0.04723011363636376}",False,False,False,False,False,False,False
3,domain_static,0.6481584821428571,0.8439127604166667,0.6884998139880952,-0.19575427827380965,-0.04034133184523814,0.6679491315569196,0.8639708473568871,0.7094251995994931,-0.19602171579996752,-0.04147606804257353,0.25418526785714285,0.5678013392857143,0.29892113095238093,-0.31361607142857145,-0.04473586309523808,-0.20235828218005958,-0.18917352585565472,-0.046364629836309526,-0.03394659133184519,-0.20354882081349684,-0.18844713483537937,-0.04763541902814601,-0.03486581870487762,-0.32068452380952384,-0.3070103236607143,-0.05319940476190482,-0.0350609188988095,"{""code"":-0.08937872023809523,""conversation"":-0.013950892857142794,""general"":-0.03050595238095255,""math"":-0.027529761904761973}",False,False,False,False,False,False,False
