phase,target_layer,candidate_count,candidate_replacement_fraction,candidate_retention_fraction,comparison
decode,16,4,0.23577473958333334,0.7642252604166666,source_layer_l_minus_1_vs_l_for_fixed_target
decode,16,8,0.21744791666666666,0.7825520833333334,source_layer_l_minus_1_vs_l_for_fixed_target
decode,16,12,0.10460069444444446,0.8953993055555556,source_layer_l_minus_1_vs_l_for_fixed_target
decode,16,16,0.071728515625,0.928271484375,source_layer_l_minus_1_vs_l_for_fixed_target
decode,17,4,0.211883544921875,0.788116455078125,source_layer_l_minus_1_vs_l_for_fixed_target
decode,17,8,0.2043304443359375,0.7956695556640625,source_layer_l_minus_1_vs_l_for_fixed_target
decode,17,12,0.10745239257812503,0.892547607421875,source_layer_l_minus_1_vs_l_for_fixed_target
decode,17,16,0.12795257568359375,0.8720474243164062,source_layer_l_minus_1_vs_l_for_fixed_target
decode,18,4,0.444192325367647,0.555807674632353,source_layer_l_minus_1_vs_l_for_fixed_target
decode,18,8,0.3401309742647059,0.6598690257352942,source_layer_l_minus_1_vs_l_for_fixed_target
decode,18,12,0.2459118412990196,0.7540881587009804,source_layer_l_minus_1_vs_l_for_fixed_target
decode,18,16,0.15090044806985295,0.8490995519301471,source_layer_l_minus_1_vs_l_for_fixed_target
decode,19,4,0.33317057291666663,0.6668294270833334,source_layer_l_minus_1_vs_l_for_fixed_target
decode,19,8,0.22177463107638887,0.7782253689236112,source_layer_l_minus_1_vs_l_for_fixed_target
decode,19,12,0.09988064236111112,0.9001193576388888,source_layer_l_minus_1_vs_l_for_fixed_target
decode,19,16,0.0871242947048611,0.9128757052951388,source_layer_l_minus_1_vs_l_for_fixed_target
decode,20,4,0.3658511513157895,0.6341488486842105,source_layer_l_minus_1_vs_l_for_fixed_target
decode,20,8,0.23121402138157895,0.768785978618421,source_layer_l_minus_1_vs_l_for_fixed_target
decode,20,12,0.16148403234649122,0.8385159676535088,source_layer_l_minus_1_vs_l_for_fixed_target
decode,20,16,0.12764057360197367,0.8723594263980263,source_layer_l_minus_1_vs_l_for_fixed_target
decode,21,4,0.090576171875,0.909423828125,source_layer_l_minus_1_vs_l_for_fixed_target
decode,21,8,0.13688964843749998,0.8631103515625,source_layer_l_minus_1_vs_l_for_fixed_target
decode,21,12,0.06803385416666669,0.9319661458333333,source_layer_l_minus_1_vs_l_for_fixed_target
decode,21,16,0.10708618164062501,0.892913818359375,source_layer_l_minus_1_vs_l_for_fixed_target
decode,22,4,0.28171502976190477,0.7182849702380952,source_layer_l_minus_1_vs_l_for_fixed_target
decode,22,8,0.2405366443452381,0.7594633556547619,source_layer_l_minus_1_vs_l_for_fixed_target
decode,22,12,0.17249503968253968,0.8275049603174603,source_layer_l_minus_1_vs_l_for_fixed_target
decode,22,16,0.1175537109375,0.8824462890625,source_layer_l_minus_1_vs_l_for_fixed_target
decode,23,4,0.19158380681818182,0.8084161931818181,source_layer_l_minus_1_vs_l_for_fixed_target
decode,23,8,0.23490767045454547,0.7650923295454546,source_layer_l_minus_1_vs_l_for_fixed_target
decode,23,12,0.2206661339962121,0.7793338660037878,source_layer_l_minus_1_vs_l_for_fixed_target
decode,23,16,0.12375710227272727,0.8762428977272727,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,2,4,0.41439543074912355,0.5856045692508764,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,2,8,0.28699099568711706,0.7130090043128829,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,2,12,0.19597310606761803,0.804026893932382,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,2,16,0.14725309852540674,0.8527469014745932,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,3,4,0.27440075377726225,0.7255992462227377,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,3,8,0.2425366929118305,0.7574633070881696,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,3,12,0.20188249509097933,0.7981175049090207,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,3,16,0.1669342744586584,0.8330657255413416,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,4,4,0.31503107694519294,0.684968923054807,source_layer_l_minus_1_vs_l_for_fixed_target
prefill,4,8,0.2607985515005653,0.7392014484994347,source_layer_l_minus_1_vs_l_for_fixed_target
