phase,delta,score_threshold,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,mean_candidate_count,candidate_amplification,candidate_set_fraction
decode,1,0.05,0.9202615489130435,0.18414603676853109,0.9309775311013926,0.7479619565217391,19.994650135869563,4.998662533967391,0.6248328167459238
decode,2,0.05,0.9238059303977273,0.18786465150626713,0.9342467134649104,0.7604758522727273,19.674094460227273,4.918523615056818,0.6148154518821023
decode,3,0.05,0.9259440104166666,0.18890523922036542,0.9342847551618303,0.7636718749999999,19.61216517857143,4.903041294642858,0.6128801618303572
decode,4,0.05,0.9261230468750001,0.18795188970251356,0.9344671249389649,0.76923828125,19.712597656249997,4.928149414062499,0.6160186767578124
decode,5,0.05,0.923596833881579,0.18641932265753697,0.9307076303582442,0.7588404605263158,19.82041529605263,4.9551038240131575,0.6193879780016447
decode,6,0.05,0.9295518663194445,0.18772096019939422,0.9365952809651692,0.7830946180555556,19.80978732638889,4.952446831597222,0.6190558539496528
decode,7,0.05,0.931841681985294,0.19107736941086703,0.9397301954381607,0.7823988970588236,19.510684742647058,4.8776711856617645,0.6097088982077206
decode,8,0.05,0.927947998046875,0.1941289871259505,0.9350839257240295,0.778076171875,19.1229248046875,4.780731201171875,0.5975914001464844
decode,9,0.05,0.9302083333333333,0.19391173692250252,0.9372201283772786,0.7796874999999999,19.192057291666668,4.798014322916667,0.5997517903645834
decode,10,0.05,0.9332101004464286,0.194257534053699,0.9405305726187569,0.7921316964285714,19.218052455357142,4.804513113839286,0.6005641392299107
decode,11,0.05,0.93017578125,0.19038742598239333,0.9366204188420223,0.7920673076923077,19.544020432692307,4.886005108173077,0.6107506385216346
decode,12,0.05,0.9380696614583334,0.18975783554848885,0.9454520543416342,0.8024088541666666,19.7763671875,4.944091796875,0.618011474609375
decode,13,0.05,0.9277787642045454,0.1880102395435082,0.9364363930442117,0.7766335227272727,19.738458806818183,4.934614701704546,0.6168268377130682
decode,14,0.05,0.934619140625,0.18796984523267243,0.9430639266967773,0.797265625,19.890625,4.97265625,0.62158203125
decode,15,0.05,0.9307183159722222,0.19025688636967295,0.9373342725965711,0.7866753472222223,19.56879340277778,4.892198350694445,0.6115247938368056
decode,16,0.05,0.93524169921875,0.19014211384942745,0.942353367805481,0.797119140625,19.676025390625,4.91900634765625,0.6148757934570312
decode,17,0.05,0.9339425223214285,0.18956445568176924,0.9410345894949776,0.7965959821428571,19.710379464285715,4.927594866071429,0.6159493582589286
decode,18,0.05,0.932861328125,0.18677510834648436,0.9353256225585939,0.7936197916666665,19.9775390625,4.994384765625,0.624298095703125
decode,19,0.05,0.92421875,0.1872009631595047,0.9333864212036131,0.765234375,19.75,4.9375,0.6171875
decode,20,0.05,0.927978515625,0.1909180406316489,0.9345412254333496,0.78564453125,19.453125,4.86328125,0.60791015625
decode,21,0.05,0.9210611979166667,0.19381885027516393,0.9267781575520834,0.7766927083333335,19.014322916666664,4.753580729166666,0.5941975911458333
decode,22,0.05,0.923583984375,0.19194681469427993,0.9297585487365723,0.787109375,19.248046875,4.81201171875,0.60150146484375
decode,23,0.05,0.9375,0.19815604017763144,0.9465780258178711,0.80078125,18.93359375,4.7333984375,0.5916748046875
prefill,1,0.05,0.9371531231218746,0.18345326687777203,0.9447376547459869,0.7874432019233368,20.435784980832256,5.108946245208064,0.638618280651008
prefill,2,0.05,0.9329941179575086,0.1869716354237793,0.9416569603528484,0.773461366017669,19.96268456124507,4.990671140311267,0.6238338925389084
prefill,3,0.05,0.9333452959004914,0.1882095652838785,0.9414452432252524,0.7775012958159375,19.83875317874081,4.959688294685202,0.6199610368356503
prefill,4,0.05,0.934623178951342,0.19044689024790937,0.942703109054128,0.7859697351236765,19.633249653458535,4.908312413364634,0.6135390516705792
prefill,5,0.05,0.9308015121054088,0.18957979006711578,0.9386017640892526,0.7728618592617427,19.640371841535327,4.910092960383832,0.613761620047979
prefill,6,0.05,0.9321714667972868,0.18959313059454452,0.9402758297609046,0.7784014945760956,19.668301102540404,4.917075275635101,0.6146344094543876
prefill,7,0.05,0.9345468367119251,0.19275199593422765,0.9417514603652994,0.7835009561186843,19.39635450382528,4.84908862595632,0.60613607824454
