layer_id,mi355x_top8_coverage,nvidia_top8_coverage,top8_coverage_difference,mi355x_gini,nvidia_gini,gini_difference,top8_hotset_intersection,top8_hotset_jaccard
0,0.23287978468899523,0.23657314269291566,-0.0036933580039204272,0.20076069078947367,0.2023178168558701,-0.001557126066396436,5,0.45454545454545453
1,0.2090311004784689,0.23700423911481536,-0.027973138636346456,0.20449872906698566,0.23056978822388274,-0.026071059156897086,6,0.6
2,0.19856459330143542,0.2300707716625952,-0.03150617836115979,0.19368878962320574,0.22069358250107773,-0.027004792877871997,3,0.23076923076923078
3,0.21269437799043062,0.23782152608133353,-0.025127148090902912,0.2398909427332536,0.2596777778775686,-0.019786835144315035,5,0.45454545454545453
4,0.23773923444976078,0.2639567466590027,-0.026217512209241928,0.2604968787380383,0.28799177548857596,-0.02749489675053768,6,0.6
5,0.22383373205741627,0.26120850696939213,-0.037374774911975855,0.2605436042165072,0.28248042103750537,-0.021936816820998184,5,0.45454545454545453
6,0.24686004784688995,0.29434904440293147,-0.047488996556041524,0.2930925725179426,0.3274328881664032,-0.03434031564846063,7,0.7777777777777778
7,0.23714114832535885,0.2611995257939359,-0.024058377468577058,0.2650432677930622,0.3038129580399483,-0.03876969024688609,5,0.45454545454545453
8,0.22480562200956938,0.2597086506681995,-0.0349030286586301,0.2723207610645933,0.2958881933467452,-0.023567432282151912,5,0.45454545454545453
9,0.22211423444976078,0.2476559132059204,-0.02554167875615962,0.23089628812799043,0.2532166641220003,-0.02232037599400985,5,0.45454545454545453
10,0.2061901913875598,0.22965763759160798,-0.02346744620404817,0.19451583059210525,0.22809463240048858,-0.033578801808383324,5,0.45454545454545453
11,0.23886064593301434,0.2752730277338698,-0.03641238180085546,0.25917922024521534,0.28386969661589306,-0.024690476370677727,5,0.45454545454545453
12,0.2372159090909091,0.25508334530823396,-0.017867436217324867,0.24617318331339713,0.2789931990048858,-0.03282001569148865,4,0.3333333333333333
13,0.21919856459330145,0.2532691478660727,-0.03407058327277124,0.23749859823564592,0.2746940225786751,-0.037195424343029165,4,0.3333333333333333
14,0.20439593301435408,0.23365426066963643,-0.029258327655282357,0.21664968974282298,0.2478880204591177,-0.031238330716294727,5,0.45454545454545453
15,0.22794557416267944,0.25145495042391147,-0.023509376261232034,0.25295772278708134,0.2542660583417158,-0.0013083355546344433,4,0.3333333333333333
