train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
base,base,prefill,code,0,10,10,32,1033,8,0.8402710551790901,0.4181994191674734,4.0,4.76036866359447,0.1722686531007752,0.7132364194676122
base,base,prefill,code,0,11,11,8,1033,8,0.5407792836398838,0.01936108422071636,1.0,1.8491832624748266,0.1996124031007752,0.6883001150443094
base,base,prefill,code,0,11,11,16,1033,8,0.744433688286544,0.20038722168441434,2.0,2.6866059817945382,0.26283914728682173,0.5993147324571959
base,base,prefill,code,0,11,11,32,1033,8,0.8697967086156825,0.452081316553727,4.0,4.598775737340011,0.14510658914728683,0.7515817038563749
base,base,prefill,code,0,12,12,8,1033,8,0.5198451113262342,0.012584704743465635,1.0,1.9236499068901303,0.3076550387596899,0.5530445007189214
base,base,prefill,code,0,12,12,16,1033,8,0.718054211035818,0.20329138431752178,2.0,2.785305021907651,0.20827277131782945,0.6714470583877754
base,base,prefill,code,0,12,12,32,1033,8,0.8570909970958374,0.4782187802516941,4.0,4.6669490328956655,0.1461967054263566,0.7507129110919359
base,base,prefill,code,0,13,13,8,1033,8,0.5332768635043562,0.0,1.0,1.8751985477649193,0.2054263565891473,0.6798733566175518
base,base,prefill,code,0,13,13,16,1033,8,0.725919651500484,0.16940948693126814,2.0,2.7551258543090515,0.15110222868217055,0.7460763811725074
base,base,prefill,code,0,13,13,32,1033,8,0.8665295256534365,0.4578896418199419,4.0,4.6161150677279705,0.14634811046511628,0.7495507418880272
base,base,prefill,code,0,14,14,8,1033,8,0.5503388189738625,0.006776379477250726,1.0,1.8170624450307828,0.2862160852713178,0.5827487757720344
base,base,prefill,code,0,14,14,16,1033,8,0.7097047434656341,0.18489835430784124,2.0,2.818073316283035,0.25278585271317827,0.6122769735842966
base,base,prefill,code,0,14,14,32,1033,8,0.8497095837366893,0.430784123910939,4.0,4.707490743377955,0.14444040697674418,0.7525599190048079
base,base,prefill,code,0,15,15,8,1033,8,0.5369070667957405,0.016456921587608905,1.0,1.8625197205318909,0.2222625968992248,0.6567936370262033
base,base,prefill,code,0,15,15,16,1033,8,0.6908276863504357,0.17618586640851888,2.0,2.8950779471010684,0.19107315891472867,0.6889715395995069
base,base,prefill,code,0,15,15,32,1033,8,0.853460793804453,0.43852855759922554,4.0,4.686799943286545,0.1375968992248062,0.7636273663335484
base,base,prefill,code,1,2,1,8,1033,8,0.5441674733785092,0.0,1.0,1.8376695574827664,0.328125,0.5310687159524383
base,base,prefill,code,1,2,1,16,1033,8,0.7141819941916747,0.12294288480154889,2.0,2.8004066418163336,0.3123788759689923,0.5413694188793543
base,base,prefill,code,1,2,1,32,1033,8,0.8543078412391094,0.33010648596321396,4.0,4.682152974504249,0.2012778585271318,0.6716970372505409
base,base,prefill,code,1,3,2,8,1033,8,0.5122216844143272,0.0,1.0,1.9522797070635483,0.3221899224806202,0.5351441839813942
base,base,prefill,code,1,3,2,16,1033,8,0.7185382381413359,0.11616650532429816,2.0,2.783428763893567,0.2921511627906977,0.5627067362247529
base,base,prefill,code,1,3,2,32,1033,8,0.8700387221684415,0.39399806389157793,4.0,4.59749652294854,0.18053536821705427,0.7005236792948437
base,base,prefill,code,1,4,3,8,1033,8,0.5935382381413359,0.00484027105517909,1.0,1.6848114169215087,0.27301356589147285,0.5902088867205193
base,base,prefill,code,1,4,3,16,1033,8,0.7838818973862536,0.14617618586640851,2.0,2.5514047545538747,0.2419452519379845,0.6206456240915511
base,base,prefill,code,1,4,3,32,1033,8,0.9247337850919651,0.5392061955469506,4.0,4.325569222716567,0.14468265503875968,0.752179120147836
base,base,prefill,code,1,5,4,8,1033,8,0.6285091965150048,0.010648596321393998,1.0,1.5910666153253754,0.2715600775193798,0.5961987194545386
base,base,prefill,code,1,5,4,16,1033,8,0.7986447241045499,0.24394966118102615,2.0,2.5042424242424244,0.22716812015503876,0.6433764801551979
base,base,prefill,code,1,5,4,32,1033,8,0.9068247821878025,0.5246853823814134,4.0,4.410995463037096,0.13768774224806202,0.7628663024262394
