phase,domain,layer_id,n_tokens,selection_agreement,route_jaccard,exact_route_match,popularity_js_divergence_nats,hotset_jaccard
prefill,code,0,1033,0.8878267182962246,0.8099250002444689,0.3010648596321394,0.004129014426530407,0.7777777777777778
prefill,code,1,1033,0.879840271055179,0.7989194198294014,0.2942884801548887,0.0026085412594290228,1.0
prefill,code,2,1033,0.9051306873184899,0.839490744815052,0.41045498547918685,0.0026552902817229837,1.0
prefill,code,3,1033,0.8973862536302033,0.8251987444630341,0.34075508228460794,0.004361279261239453,1.0
prefill,code,4,1033,0.9044046466602129,0.8366980550910958,0.37560503388189737,0.0038382327537677353,0.7777777777777778
prefill,code,5,1033,0.9064617618586641,0.8408675330263042,0.398838334946757,0.0027781402537143873,0.7777777777777778
prefill,code,6,1033,0.9056147144240078,0.8401785801592282,0.38818973862536305,0.003576929445435923,0.8823529411764706
prefill,code,7,1033,0.904162633107454,0.8395702178858125,0.4133591481122943,0.005466847571196542,1.0
prefill,code,8,1033,0.8964181994191674,0.8261185947536488,0.3610842207163601,0.005975262902719873,0.8823529411764706
prefill,code,9,1033,0.9081558567279767,0.8449215192680922,0.4191674733785092,0.003956620310551878,0.7777777777777778
prefill,code,10,1033,0.9103339787028074,0.8471906495139901,0.4143272023233301,0.00153639731593195,0.8823529411764706
prefill,code,11,1033,0.9165053242981607,0.8583216933652646,0.4569215876089061,0.001661482705834548,1.0
prefill,code,12,1033,0.901863504356244,0.8344382088815878,0.3862536302032914,0.002771868178659381,1.0
prefill,code,13,1033,0.8869796708615683,0.8117510326610138,0.3378509196515005,0.0027303043958644556,0.8823529411764706
prefill,code,14,1033,0.8849225556631172,0.8080993116811237,0.3281703775411423,0.0036955431111844947,0.8823529411764706
prefill,code,15,1033,0.8670135527589545,0.78268168316572,0.2739593417231365,0.005715543062464914,0.7777777777777778
prefill,conversation,0,421,0.9005344418052257,0.8291321768756423,0.33016627078384797,0.0031310213938080048,0.6842105263157895
prefill,conversation,1,421,0.8951900237529691,0.8229612034837669,0.3515439429928741,0.0017423739012589162,0.7777777777777778
prefill,conversation,2,421,0.9020190023752969,0.8340555195662063,0.3847980997624703,0.0016467536062870097,0.7777777777777778
prefill,conversation,3,421,0.8954869358669834,0.8209745915209071,0.31116389548693585,0.0023608443243008036,1.0
prefill,conversation,4,421,0.8842042755344418,0.8033254156769569,0.25653206650831356,0.0029856489747411424,0.8823529411764706
prefill,conversation,5,421,0.8842042755344418,0.8048897526332185,0.29691211401425177,0.0021829749555706567,1.0
prefill,conversation,6,421,0.877375296912114,0.7936418820029245,0.2589073634204275,0.004392604792905236,0.7777777777777778
prefill,conversation,7,421,0.8764845605700713,0.7945248206530853,0.28741092636579574,0.003529368483874227,0.7777777777777778
prefill,conversation,8,421,0.8862826603325415,0.8085558674632287,0.31116389548693585,0.004713922446357318,0.7777777777777778
prefill,conversation,9,421,0.9064726840855107,0.8412629861560958,0.40617577197149646,0.001287552840449489,0.8823529411764706
prefill,conversation,10,421,0.918646080760095,0.8600350296312277,0.4489311163895487,0.0018203207554364203,0.8823529411764706
prefill,conversation,11,421,0.913895486935867,0.8522997192830906,0.4251781472684085,0.001475630647561466,0.8823529411764706
prefill,conversation,12,421,0.9130047505938242,0.8521653590537183,0.44418052256532065,0.0015206159083905057,0.7777777777777778
prefill,conversation,13,421,0.8969714964370546,0.8263681950142738,0.3586698337292161,0.0019379282096560662,0.8823529411764706
prefill,conversation,14,421,0.8951900237529691,0.8220937679369962,0.33016627078384797,0.0016276971409649762,0.8823529411764706
prefill,conversation,15,421,0.8557007125890737,0.7673584267408479,0.26128266033254155,0.004328583234833018,0.7777777777777778
prefill,general,0,1500,0.9,0.8291124579124712,0.34933333333333333,0.002675946325964934,0.8823529411764706
prefill,general,1,1500,0.897,0.8257589225589356,0.358,0.0009348845846531937,0.8823529411764706
prefill,general,2,1500,0.9026666666666666,0.8340444444444568,0.37,0.0011104818159138527,0.8823529411764706
prefill,general,3,1500,0.9000833333333333,0.8306747474747612,0.37066666666666664,0.0015228829817501366,0.8823529411764706
prefill,general,4,1500,0.8966666666666666,0.824476382876398,0.3426666666666667,0.0014014448405379283,0.8823529411764706
prefill,general,5,1500,0.89675,0.8240538720538885,0.336,0.0013960410472625357,0.7777777777777778
prefill,general,6,1500,0.9024166666666666,0.8342383838383974,0.38066666666666665,0.0013296896127488447,0.8823529411764706
prefill,general,7,1500,0.9018333333333334,0.8334087542087665,0.378,0.0013448083251202361,0.8823529411764706
prefill,general,8,1500,0.8971666666666667,0.8250370370370518,0.3393333333333333,0.0025246718163302465,0.7777777777777778
prefill,general,9,1500,0.9165833333333333,0.8575191919192044,0.45066666666666666,0.0008037090160397358,0.8823529411764706
prefill,general,10,1500,0.92,0.8629144781144905,0.4633333333333333,0.0007758063733458966,0.8823529411764706
prefill,general,11,1500,0.9148333333333334,0.8533144781144908,0.422,0.0007878016821197086,0.8823529411764706
prefill,general,12,1500,0.91675,0.8579636363636487,0.46066666666666667,0.0008063033198676902,0.8823529411764706
prefill,general,13,1500,0.90375,0.8378467754467886,0.4053333333333333,0.0010571240014833126,0.8823529411764706
prefill,general,14,1500,0.9015,0.8335164983165126,0.382,0.001031711219127515,0.8823529411764706
prefill,general,15,1500,0.8805,0.8022588966589115,0.32,0.002293055069440983,0.8823529411764706
prefill,math,0,516,0.908187984496124,0.842839245164825,0.39341085271317827,0.0020213380955580278,0.7777777777777778
prefill,math,1,516,0.8861434108527132,0.8079242032730388,0.29844961240310075,0.002177032306029832,0.7777777777777778
prefill,math,2,516,0.8926841085271318,0.816286900007828,0.29069767441860467,0.0045681551798685775,0.7777777777777778
prefill,math,3,516,0.8984980620155039,0.8257458303969908,0.32170542635658916,0.0036970621260944423,0.7777777777777778
prefill,math,4,516,0.8941375968992248,0.8191292772688097,0.3081395348837209,0.006088500656107776,1.0
prefill,math,5,516,0.8914728682170543,0.8154255735651066,0.31007751937984496,0.00377371247239719,0.7777777777777778
prefill,math,6,516,0.9001937984496124,0.830921619293711,0.374031007751938,0.004160418858587872,0.7777777777777778
prefill,math,7,516,0.903343023255814,0.8361570384826179,0.37790697674418605,0.002332651011092009,0.7777777777777778
prefill,math,8,516,0.9004360465116279,0.8293399107352576,0.33527131782945735,0.0036568196646518053,0.8823529411764706
prefill,math,9,516,0.9173934108527132,0.8583039699318751,0.44573643410852715,0.00261644259909303,0.7777777777777778
prefill,math,10,516,0.9140019379844961,0.8515856236786447,0.4069767441860465,0.00271450725481924,0.7777777777777778
prefill,math,11,516,0.9014050387596899,0.8321822879962397,0.3682170542635659,0.0037650426633851,0.6842105263157895
prefill,math,12,516,0.9096414728682171,0.8446480306945402,0.3875968992248062,0.0017357379390948013,0.8823529411764706
prefill,math,13,516,0.8827519379844961,0.807744107744106,0.3546511627906977,0.004445620847820639,0.7777777777777778
prefill,math,14,516,0.8825096899224806,0.8027562446167079,0.29457364341085274,0.0018952599401330528,0.7777777777777778
prefill,math,15,516,0.7957848837209303,0.6782072363467702,0.11627906976744186,0.01466599146491458,0.5238095238095238
prefill,__domain_balanced__,0,3470,0.8991372861493936,0.8277522200493519,0.34349382911562476,0.0029893300604653433,0.7805297557619539
prefill,__domain_balanced__,1,3470,0.8895434264152153,0.8138909372862857,0.3255705088877159,0.0018657080128427412,0.8594771241830066
prefill,__domain_balanced__,2,3470,0.9006251162218963,0.8309694022083858,0.36398768991506547,0.002495170220948106,0.8594771241830066
prefill,__domain_balanced__,3,3470,0.8978636462115059,0.8256484784639233,0.33607276769869987,0.002985517173346209,0.9150326797385621
prefill,__domain_balanced__,4,3470,0.8948532964401366,0.8209072827283151,0.3207358254851496,0.0035784568062886455,0.8856209150326797
prefill,__domain_balanced__,5,3470,0.8947222264025401,0.8213091828196295,0.33545699208521346,0.0025327171822361926,0.8333333333333334
prefill,__domain_balanced__,6,3470,0.8964001191131002,0.8247451163235653,0.3504486941160988,0.0033649106774194686,0.8300653594771241
prefill,__domain_balanced__,7,3470,0.8964558875666682,0.8259152078075706,0.36416926280556905,0.0031684188478207534,0.8594771241830066
prefill,__domain_balanced__,8,3470,0.8950758932325009,0.8222628524972967,0.33671319184152165,0.004217669207514811,0.8300653594771241
prefill,__domain_balanced__,9,3470,0.9121513212498835,0.8505019168188169,0.43043658653129985,0.002166081191533533,0.8300653594771241
prefill,__domain_balanced__,10,3470,0.9157454993618497,0.8554314452345883,0.43339209905806464,0.0017117579248833766,0.8562091503267973
prefill,__domain_balanced__,11,3470,0.9116597958317627,0.8490295446897714,0.41807919728522014,0.0019224894247252056,0.8622291021671826
prefill,__domain_balanced__,12,3470,0.9103149319545714,0.8473038087483737,0.4196744296650212,0.0017086313365030944,0.8856209150326797
prefill,__domain_balanced__,13,3470,0.8926132763207798,0.8209275277165455,0.3641263123761869,0.0025427443637061186,0.8562091503267973
prefill,__domain_balanced__,14,3470,0.8910305673346417,0.8166164556378351,0.33372757293396077,0.0020625528528525096,0.8562091503267973
prefill,__domain_balanced__,15,3470,0.8497497872672396,0.7576265607280623,0.24288026795578,0.006750793207913374,0.7404295051353875
