checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,code,0,13,13,8,0.5332768635043562,0.45099225556631173,0.08228460793804449,0.0,0.0,0.0
base,prefill,code,0,13,13,16,0.725919651500484,0.6931268151016456,0.03279283639883834,0.16940948693126814,0.11035818005808325,0.0590513068731849
base,prefill,code,0,13,13,32,0.8665295256534365,0.7878751210067764,0.07865440464666018,0.4578896418199419,0.24782187802516942,0.2100677637947725
base,prefill,code,0,14,14,8,0.5503388189738625,0.41674733785091966,0.13359148112294283,0.006776379477250726,0.0,0.006776379477250726
base,prefill,code,0,14,14,16,0.7097047434656341,0.5567521781219749,0.1529525653436592,0.18489835430784124,0.0,0.18489835430784124
base,prefill,code,0,14,14,32,0.8497095837366893,0.7751694094869312,0.074540174249758,0.430784123910939,0.25943852855759925,0.17134559535333976
base,prefill,code,0,15,15,8,0.5369070667957405,0.43284123910939015,0.10406582768635037,0.016456921587608905,0.0,0.016456921587608905
base,prefill,code,0,15,15,16,0.6908276863504357,0.5703049370764763,0.12052274927395934,0.17618586640851888,0.021297192642787996,0.1548886737657309
base,prefill,code,0,15,15,32,0.853460793804453,0.7895692158760891,0.06389157792836397,0.43852855759922554,0.31364956437560504,0.1248789932236205
base,prefill,conversation,0,1,1,8,0.29720902612826605,0.14459619952494063,0.15261282660332542,0.0,0.0,0.0
base,prefill,conversation,0,1,1,16,0.5240498812351544,0.3022565320665083,0.22179334916864607,0.014251781472684086,0.0023752969121140144,0.011876484560570073
base,prefill,conversation,0,1,1,32,0.7666270783847982,0.6321258907363421,0.1345011876484561,0.20190023752969122,0.05463182897862233,0.14726840855106887
base,prefill,conversation,0,2,2,8,0.22980997624703087,0.10866983372921615,0.12114014251781471,0.0,0.0,0.0
