phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,1,48,50,161,0.012036483253588517
prefill,__all__,1,49,24,156,0.01166267942583732
prefill,__all__,1,50,2,155,0.011587918660287081
prefill,__all__,1,51,58,150,0.011214114832535885
prefill,__all__,1,52,44,147,0.010989832535885168
prefill,__all__,1,53,57,142,0.010616028708133971
prefill,__all__,1,54,33,134,0.010017942583732058
prefill,__all__,1,55,46,133,0.009943181818181818
prefill,__all__,1,56,38,133,0.009943181818181818
prefill,__all__,1,57,22,118,0.008821770334928229
prefill,__all__,1,58,4,115,0.008597488038277512
prefill,__all__,1,59,6,103,0.007700358851674641
prefill,__all__,1,60,10,89,0.006653708133971292
prefill,__all__,1,61,56,86,0.006429425837320574
prefill,__all__,1,62,28,85,0.006354665071770335
prefill,__all__,1,63,26,85,0.006354665071770335
prefill,__all__,1,64,43,70,0.005233253588516747
prefill,__all__,2,1,40,437,0.032670454545454544
prefill,__all__,2,2,57,353,0.02639055023923445
prefill,__all__,2,3,34,348,0.026016746411483254
prefill,__all__,2,4,7,319,0.023848684210526317
prefill,__all__,2,5,58,318,0.023773923444976076
prefill,__all__,2,6,16,297,0.022203947368421052
prefill,__all__,2,7,36,293,0.021904904306220097
prefill,__all__,2,8,4,291,0.021755382775119618
prefill,__all__,2,9,5,282,0.021082535885167463
prefill,__all__,2,10,9,281,0.021007775119617225
prefill,__all__,2,11,22,272,0.02033492822966507
prefill,__all__,2,12,63,270,0.020185406698564595
prefill,__all__,2,13,48,264,0.019736842105263157
prefill,__all__,2,14,59,262,0.01958732057416268
prefill,__all__,2,15,45,260,0.019437799043062202
prefill,__all__,2,16,60,258,0.019288277511961723
prefill,__all__,2,17,14,253,0.018914473684210526
prefill,__all__,2,18,21,252,0.018839712918660288
prefill,__all__,2,19,29,249,0.01861543062200957
prefill,__all__,2,20,23,237,0.0177183014354067
prefill,__all__,2,21,26,235,0.01756877990430622
prefill,__all__,2,22,35,234,0.017494019138755982
prefill,__all__,2,23,38,234,0.017494019138755982
prefill,__all__,2,24,46,233,0.01741925837320574
prefill,__all__,2,25,12,232,0.017344497607655503
prefill,__all__,2,26,56,228,0.017045454545454544
prefill,__all__,2,27,15,228,0.017045454545454544
prefill,__all__,2,28,20,228,0.017045454545454544
prefill,__all__,2,29,44,221,0.016522129186602872
prefill,__all__,2,30,33,221,0.016522129186602872
prefill,__all__,2,31,24,219,0.016372607655502393
prefill,__all__,2,32,62,212,0.015849282296650717
prefill,__all__,2,33,1,210,0.015699760765550238
prefill,__all__,2,34,28,205,0.015325956937799043
prefill,__all__,2,35,61,204,0.015251196172248804
prefill,__all__,2,36,0,200,0.014952153110047847
prefill,__all__,2,37,19,198,0.014802631578947368
prefill,__all__,2,38,47,197,0.01472787081339713
prefill,__all__,2,39,53,196,0.01465311004784689
prefill,__all__,2,40,3,186,0.013905502392344497
prefill,__all__,2,41,30,184,0.01375598086124402
prefill,__all__,2,42,54,183,0.01368122009569378
prefill,__all__,2,43,32,174,0.013008373205741627
prefill,__all__,2,44,25,174,0.013008373205741627
prefill,__all__,2,45,39,167,0.012485047846889951
prefill,__all__,2,46,50,158,0.011812200956937798
prefill,__all__,2,47,18,156,0.01166267942583732
prefill,__all__,2,48,37,155,0.011587918660287081
prefill,__all__,2,49,10,154,0.011513157894736841
prefill,__all__,2,50,27,152,0.011363636363636364
prefill,__all__,2,51,13,152,0.011363636363636364
prefill,__all__,2,52,11,152,0.011363636363636364
prefill,__all__,2,53,41,151,0.011288875598086124
prefill,__all__,2,54,52,141,0.010541267942583732
prefill,__all__,2,55,31,128,0.009569377990430622
prefill,__all__,2,56,49,127,0.009494617224880382
prefill,__all__,2,57,6,125,0.009345095693779904
prefill,__all__,2,58,8,117,0.008747009569377991
prefill,__all__,2,59,42,112,0.008373205741626795
prefill,__all__,2,60,17,105,0.007849880382775119
prefill,__all__,2,61,2,84,0.0062799043062200955
prefill,__all__,2,62,43,82,0.006130382775119617
prefill,__all__,2,63,51,73,0.005457535885167464
prefill,__all__,2,64,55,53,0.003962320574162679
prefill,__all__,3,1,52,443,0.03311901913875598
prefill,__all__,3,2,12,374,0.027960526315789474
prefill,__all__,3,3,61,358,0.026764354066985647
prefill,__all__,3,4,30,354,0.02646531100478469
prefill,__all__,3,5,15,342,0.02556818181818182
prefill,__all__,3,6,20,338,0.02526913875598086
prefill,__all__,3,7,31,331,0.024745813397129186
prefill,__all__,3,8,43,305,0.022802033492822966
prefill,__all__,3,9,22,304,0.022727272727272728
prefill,__all__,3,10,49,301,0.02250299043062201
prefill,__all__,3,11,59,299,0.02235346889952153
prefill,__all__,3,12,9,299,0.02235346889952153
prefill,__all__,3,13,38,291,0.021755382775119618
prefill,__all__,3,14,62,286,0.02138157894736842
prefill,__all__,3,15,42,281,0.021007775119617225
prefill,__all__,3,16,0,268,0.020035885167464115
prefill,__all__,3,17,54,267,0.019961124401913874
prefill,__all__,3,18,25,266,0.019886363636363636
prefill,__all__,3,19,33,265,0.019811602870813398
prefill,__all__,3,20,48,263,0.01966208133971292
prefill,__all__,3,21,40,262,0.01958732057416268
prefill,__all__,3,22,28,254,0.018989234449760764
prefill,__all__,3,23,56,246,0.01839114832535885
prefill,__all__,3,24,45,240,0.017942583732057416
prefill,__all__,3,25,37,240,0.017942583732057416
prefill,__all__,3,26,23,239,0.01786782296650718
prefill,__all__,3,27,50,234,0.017494019138755982
prefill,__all__,3,28,19,232,0.017344497607655503
prefill,__all__,3,29,18,223,0.016671650717703348
prefill,__all__,3,30,29,214,0.015998803827751196
prefill,__all__,3,31,47,212,0.015849282296650717
prefill,__all__,3,32,2,211,0.01577452153110048
prefill,__all__,3,33,57,208,0.01555023923444976
prefill,__all__,3,34,24,205,0.015325956937799043
prefill,__all__,3,35,46,191,0.014279306220095694
prefill,__all__,3,36,58,190,0.014204545454545454
