phase,source_layer,target_layer,delta,n_train,feature_dimension,output_dimension,epochs,final_bce_loss
prefill,11,15,4,11696,128,64,30,0.6100413173070195
prefill,12,13,1,11696,128,64,30,0.5660062287965976
prefill,12,14,2,11696,128,64,30,0.5617634978568342
prefill,12,15,3,11696,128,64,30,0.6043493112526253
prefill,13,14,1,11696,128,64,30,0.5645233267961547
prefill,13,15,2,11696,128,64,30,0.6031188955874515
prefill,14,15,1,11696,128,64,30,0.6040790001931823
decode,0,1,1,5995,128,64,30,0.7885196559224356
decode,0,2,2,5995,128,64,30,0.7714504304580434
decode,0,3,3,5995,128,64,30,0.7189173911987891
decode,0,4,4,5995,128,64,30,0.7337771047145949
decode,0,5,5,5995,128,64,30,0.712909837272189
decode,0,6,6,5995,128,64,30,0.6851253570070657
decode,0,7,7,5995,128,64,30,0.6818232831306712
decode,0,8,8,5995,128,64,30,0.6652330003946001
decode,0,9,9,5995,128,64,30,0.6458997290963625
decode,0,10,10,5995,128,64,30,0.6583499674005644
decode,0,11,11,5995,128,64,30,0.6825296823634417
decode,0,12,12,5995,128,64,30,0.707904527871384
decode,0,13,13,5995,128,64,30,0.7774908324994079
decode,0,14,14,5995,128,64,30,0.7660645498744242
decode,0,15,15,5995,128,64,30,0.8067432174491723
decode,1,2,1,5995,128,64,30,0.7635836970020673
decode,1,3,2,5995,128,64,30,0.7114650075986447
