scenario,lookahead,effective_inter_moe_layer_ms,expert_transfer_ms,copies_per_layer_interval,deadline_feasible_cold_fraction,oracle_stall_reduction,passes_frozen_gate
reference_calibration,1,0.6393109858036041,0.5240960121154785,1.2198356236733572,0.26577362302303614,0.3171708583392545,False
reference_calibration,2,0.6393109858036041,0.5240960121154785,1.2198356236733572,0.2979311367372137,0.35802968218883213,False
reference_calibration,3,0.6393109858036041,0.5240960121154785,1.2198356236733572,0.3282816358389049,0.38911192934939776,False
mi_copy_only,1,0.6393109858036041,0.28494399785995483,2.2436373133145087,0.49957210598677504,0.5455080358942643,False
mi_copy_only,2,0.6393109858036041,0.28494399785995483,2.2436373133145087,0.562719048215532,0.6142872293540145,True
mi_copy_only,3,0.6393109858036041,0.28494399785995483,2.2436373133145087,0.6141562341150687,0.6566719055582755,True
measured_testbed_slack_only,1,0.9773803949356079,0.5240960121154785,1.8648880593280557,0.26577362302303614,0.46798313922738777,False
measured_testbed_slack_only,2,0.9773803949356079,0.5240960121154785,1.8648880593280557,0.3604648487528791,0.526829513725787,False
measured_testbed_slack_only,3,0.9773803949356079,0.5240960121154785,1.8648880593280557,0.4301063023074295,0.5666182339375314,False
measured_testbed_combined,1,0.9773803949356079,0.28494399785995483,3.4300789006827013,0.6881143669506823,0.7480472187424303,True
measured_testbed_combined,2,0.9773803949356079,0.28494399785995483,3.4300789006827013,0.7865719449564268,0.8266879448293101,True
measured_testbed_combined,3,0.9773803949356079,0.28494399785995483,3.4300789006827013,0.8391910247186891,0.8654961031643529,True
