size_mib,bytes,repetition,elapsed_ms,wall_completion_ms
4,4194304,0,0.3698050081729889,0.4938933998346329
4,4194304,1,0.09904100000858307,0.11875852942466736
4,4194304,2,0.09584199637174606,0.11351797729730606
4,4194304,3,0.09680099785327911,0.11422857642173767
4,4194304,4,0.09684199839830399,0.11295732110738754
4,4194304,5,0.0981609970331192,0.1140674576163292
4,4194304,6,0.10804100334644318,0.12387800961732864
4,4194304,7,0.09736199676990509,0.1130392774939537
4,4194304,8,0.09700100123882294,0.11304859071969986
4,4194304,9,0.09656199812889099,0.11482834815979004
4,4194304,10,0.09720099717378616,0.11277757585048676
4,4194304,11,0.096001997590065,0.1116795465350151
4,4194304,12,0.09760099649429321,0.11262856423854828
4,4194304,13,0.09660100191831589,0.11254753917455673
4,4194304,14,0.09792099893093109,0.11316780000925064
4,4194304,15,0.09628099948167801,0.11969916522502899
4,4194304,16,0.0973220020532608,0.11304859071969986
4,4194304,17,0.09624099731445312,0.11621788144111633
4,4194304,18,0.09488199651241302,0.11812802404165268
4,4194304,19,0.09640099853277206,0.1114988699555397
4,4194304,20,0.09792199730873108,0.11308770626783371
4,4194304,21,0.09820099920034409,0.11339783668518066
4,4194304,22,0.09636099636554718,0.11166837066411972
4,4194304,23,0.09540099650621414,0.11104904115200043
4,4194304,24,0.09708099812269211,0.1122383400797844
4,4194304,25,0.09680099785327911,0.11270865797996521
4,4194304,26,0.09536100178956985,0.11243857443332672
4,4194304,27,0.09480100125074387,0.1098383218050003
4,4194304,28,0.09424100071191788,0.1090681180357933
4,4194304,29,0.09660100191831589,0.11162832379341125
4,4194304,30,0.09692099690437317,0.1118173822760582
4,4194304,31,0.09564100205898285,0.11027790606021881
4,4194304,32,0.09584099799394608,0.10979827493429184
4,4194304,33,0.0949610024690628,0.11004786938428879
4,4194304,34,0.09644100069999695,0.11535733938217163
4,4194304,35,0.09432200342416763,0.10943785309791565
4,4194304,36,0.09860099852085114,0.11388864368200302
4,4194304,37,0.09688200056552887,0.11577736586332321
4,4194304,38,0.09796100109815598,0.11252798140048981
4,4194304,39,0.09572199732065201,0.1102890819311142
4,4194304,40,0.09760099649429321,0.11207815259695053
4,4194304,41,0.09412200003862381,0.10885857045650482
4,4194304,42,0.10060100257396698,0.11543836444616318
4,4194304,43,0.09708099812269211,0.11197850108146667
4,4194304,44,0.09456100314855576,0.11174846440553665
4,4194304,45,0.09516099840402603,0.10993797332048416
4,4194304,46,0.09432099759578705,0.10837893933057785
4,4194304,47,0.09624200314283371,0.11074822396039963
4,4194304,48,0.09568099677562714,0.11247862130403519
4,4194304,49,0.09672100096940994,0.11113844811916351
8,8388608,0,0.1958020031452179,0.22319704294204712
8,8388608,1,0.193121999502182,0.21040625870227814
8,8388608,2,0.1922830045223236,0.2069268375635147
8,8388608,3,0.1923229992389679,0.2056863158941269
8,8388608,4,0.24288299679756165,0.26113539934158325
8,8388608,5,0.24268299341201782,0.262686051428318
8,8388608,6,0.19240300357341766,0.21038763225078583
8,8388608,7,0.19300299882888794,0.2093566581606865
8,8388608,8,0.19360199570655823,0.20973756909370422
8,8388608,9,0.1936420053243637,0.2093873918056488
8,8388608,10,0.19420300424098969,0.20957551896572113
8,8388608,11,0.19200299680233002,0.20625721663236618
8,8388608,12,0.19228200614452362,0.2065766602754593
8,8388608,13,0.1899619996547699,0.20489655435085297
8,8388608,14,0.19064299762248993,0.20501669496297836
8,8388608,15,0.19188299775123596,0.20664650946855545
8,8388608,16,0.19188199937343597,0.2072565257549286
8,8388608,17,0.19144199788570404,0.2069864422082901
8,8388608,18,0.19108299911022186,0.2063969150185585
8,8388608,19,0.1920430064201355,0.20715780556201935
8,8388608,20,0.19164200127124786,0.20625721663236618
8,8388608,21,0.19172200560569763,0.20689703524112701
8,8388608,22,0.19304299354553223,0.20804628729820251
8,8388608,23,0.19060300290584564,0.20579714328050613
8,8388608,24,0.18932199478149414,0.20467769354581833
8,8388608,25,0.19064199924468994,0.20523648709058762
8,8388608,26,0.19116300344467163,0.20587723702192307
8,8388608,27,0.19056299328804016,0.2060364931821823
8,8388608,28,0.19120199978351593,0.20676665008068085
8,8388608,29,0.19112199544906616,0.20676665008068085
8,8388608,30,0.1910029947757721,0.20681694149971008
8,8388608,31,0.19236299395561218,0.20683743059635162
8,8388608,32,0.1910420060157776,0.20564626902341843
8,8388608,33,0.18980200588703156,0.20470749586820602
8,8388608,34,0.19104300439357758,0.20551681518554688
8,8388608,35,0.1907230019569397,0.20677689462900162
8,8388608,36,0.19188199937343597,0.20629633218050003
8,8388608,37,0.18976199626922607,0.2057356759905815
8,8388608,38,0.18948300182819366,0.20330678671598434
8,8388608,39,0.1907230019569397,0.20620692521333694
8,8388608,40,0.1910420060157776,0.20538736134767532
8,8388608,41,0.1904820054769516,0.20570680499076843
8,8388608,42,0.1914830058813095,0.20615756511688232
8,8388608,43,0.19136300683021545,0.20693708211183548
8,8388608,44,0.19172200560569763,0.20674709230661392
8,8388608,45,0.19064199924468994,0.2058669924736023
8,8388608,46,0.19508300721645355,0.21004676818847656
8,8388608,47,0.19080300629138947,0.2057766541838646
8,8388608,48,0.19068199396133423,0.20551681518554688
8,8388608,49,0.19204199314117432,0.20720716565847397
12,12582912,0,0.2880040109157562,0.32053422182798386
12,12582912,1,0.28640300035476685,0.30335597693920135
12,12582912,2,0.2872430086135864,0.3030449151992798
12,12582912,3,0.28608301281929016,0.30178576707839966
12,12582912,4,0.28924301266670227,0.3049653023481369
12,12582912,5,0.287322998046875,0.30226539820432663
12,12582912,6,0.2865230143070221,0.3016851842403412
12,12582912,7,0.28508299589157104,0.2995859831571579
12,12582912,8,0.2848829925060272,0.2976665273308754
12,12582912,9,0.2854439914226532,0.3000851720571518
12,12582912,10,0.2840839922428131,0.29868539422750473
12,12582912,11,0.28504401445388794,0.30039437115192413
12,12582912,12,0.2851240038871765,0.3000060096383095
12,12582912,13,0.2854839861392975,0.30045490711927414
12,12582912,14,0.285643994808197,0.30081626027822495
12,12582912,15,0.2852039933204651,0.2989349886775017
12,12582912,16,0.28476399183273315,0.299135223031044
12,12582912,17,0.2836039960384369,0.29773544520139694
12,12582912,18,0.2852439880371094,0.30030496418476105
12,12582912,19,0.28504401445388794,0.29965583235025406
12,12582912,20,0.2853640019893646,0.30078552663326263
12,12582912,21,0.2836039960384369,0.29823556542396545
12,12582912,22,0.2854439914226532,0.2998150885105133
12,12582912,23,0.28268399834632874,0.29797572642564774
12,12582912,24,0.28480398654937744,0.2987449988722801
12,12582912,25,0.284963995218277,0.29933638870716095
12,12582912,26,0.284604012966156,0.29891636222600937
12,12582912,27,0.2860040068626404,0.3002556040883064
12,12582912,28,0.28476300835609436,0.2999966964125633
12,12582912,29,0.28484299778938293,0.30004512518644333
12,12582912,30,0.2849229872226715,0.2992264926433563
12,12582912,31,0.28428301215171814,0.2970648929476738
12,12582912,32,0.28456300497055054,0.29907654970884323
12,12582912,33,0.2856830060482025,0.2999352291226387
12,12582912,34,0.28428301215171814,0.29892660677433014
12,12582912,35,0.28588300943374634,0.3001457080245018
12,12582912,36,0.2841230034828186,0.2982849255204201
12,12582912,37,0.2852039933204651,0.29921624809503555
12,12582912,38,0.2848840057849884,0.30009448528289795
12,12582912,39,0.2849240005016327,0.2992656081914902
12,12582912,40,0.28424400091171265,0.2986053004860878
12,12582912,41,0.2849240005016327,0.2991156652569771
12,12582912,42,0.28448399901390076,0.2999650314450264
12,12582912,43,0.28292399644851685,0.2969764173030853
12,12582912,44,0.28500398993492126,0.30024629086256027
12,12582912,45,0.28444400429725647,0.2987449988722801
12,12582912,46,0.284963995218277,0.2999464049935341
12,12582912,47,0.2846440076828003,0.29879529029130936
12,12582912,48,0.2848840057849884,0.2996763214468956
12,12582912,49,0.28456398844718933,0.29917526990175247
16,16777216,0,0.3840450048446655,0.4119342193007469
16,16777216,1,0.3794049918651581,0.39565376937389374
16,16777216,2,0.37792500853538513,0.39452407509088516
16,16777216,3,0.3785249888896942,0.3940640017390251
16,16777216,4,0.3796449899673462,0.3945333883166313
16,16777216,5,0.37784498929977417,0.39237458258867264
16,16777216,6,0.38028499484062195,0.3955550491809845
16,16777216,7,0.37896499037742615,0.39316341280937195
16,16777216,8,0.3793649971485138,0.39411336183547974
16,16777216,9,0.379925012588501,0.39576366543769836
16,16777216,10,0.37736499309539795,0.39162393659353256
16,16777216,11,0.377685010433197,0.39196573197841644
16,16777216,12,0.37836501002311707,0.3927741199731827
16,16777216,13,0.3774450123310089,0.3903741016983986
16,16777216,14,0.378805011510849,0.39352383464574814
16,16777216,15,0.38024500012397766,0.39444398134946823
16,16777216,16,0.37948501110076904,0.3937138244509697
16,16777216,17,0.3790850043296814,0.39272475987672806
16,16777216,18,0.37952500581741333,0.3934241831302643
16,16777216,19,0.3788850009441376,0.3930535167455673
16,16777216,20,0.37924501299858093,0.3929436206817627
16,16777216,21,0.37924501299858093,0.3947839140892029
16,16777216,22,0.3815250098705292,0.39579346776008606
16,16777216,23,0.3784849941730499,0.392913818359375
16,16777216,24,0.37896499037742615,0.3936048597097397
16,16777216,25,0.37712499499320984,0.3921138122677803
16,16777216,26,0.378044992685318,0.39289332926273346
16,16777216,27,0.37920498847961426,0.3938032314181328
16,16777216,28,0.3792850077152252,0.3962833434343338
16,16777216,29,0.3785650134086609,0.3934847190976143
16,16777216,30,0.3791249990463257,0.3935946151614189
