layer_id,mi355x_top8_coverage,nvidia_top8_coverage,top8_coverage_difference,mi355x_gini,nvidia_gini,gini_difference,top8_hotset_intersection,top8_hotset_jaccard
0,0.23648333093835322,0.23657314269291566,-8.981175456243551e-05,0.20243990470972842,0.2023178168558701,0.00012208785385831034,8,1.0
1,0.23701322029027158,0.23700423911481536,8.981175456224122e-06,0.23058859255999425,0.23056978822388274,1.880433611151089e-05,8,1.0
2,0.22996299755712027,0.2300707716625952,-0.00010777410547493926,0.2202577148297169,0.22069358250107773,-0.0004358676713608345,8,1.0
3,0.2380640178186521,0.23782152608133353,0.00024249173731857865,0.259728858312976,0.2596777778775686,5.108043540735796e-05,8,1.0
4,0.2641902572208651,0.2639567466590027,0.00023351056186238228,0.28792638130478515,0.28799177548857596,-6.53941837908123e-05,8,1.0
5,0.26135220577669205,0.26120850696939213,0.00014369880729991902,0.2828040240156632,0.28248042103750537,0.0003236029781578109,7,0.7777777777777778
6,0.29422330794654405,0.29434904440293147,-0.00012573645638741526,0.3271454905518034,0.3274328881664032,-0.0002873976145997825,8,1.0
7,0.26124443167121714,0.2611995257939359,4.490587728123163e-05,0.3040560111007329,0.3038129580399483,0.00024305306078459266,8,1.0
8,0.25978948124730566,0.2597086506681995,8.083057910618363e-05,0.2958898773171433,0.2958881933467452,1.6839703980697784e-06,8,1.0
9,0.24781757436413276,0.2476559132059204,0.00016166115821236726,0.25333678734372755,0.2532166641220003,0.00012012322172727519,8,1.0
10,0.22946903290702686,0.22965763759160798,-0.0001886046845811229,0.22813476702830868,0.22809463240048858,4.013462782009869e-05,8,1.0
11,0.27534487713751976,0.2752730277338698,7.184940364995951e-05,0.2838626800725679,0.28386969661589306,-7.016543325188973e-06,8,1.0
12,0.2551013076591464,0.25508334530823396,1.7962350912448244e-05,0.2785334750862193,0.2789931990048858,-0.0004597239186664992,8,1.0
13,0.2531074867078603,0.2532691478660727,-0.00016166115821236726,0.2748829079249892,0.2746940225786751,0.00018888534631411602,8,1.0
14,0.23334890070412415,0.23365426066963643,-0.0003053599655122863,0.24793152302773386,0.2478880204591177,4.350256861615498e-05,7,0.7777777777777778
15,0.2516076304066676,0.25145495042391147,0.00015267998275614314,0.25409373203764907,0.2542660583417158,-0.00017232630406671667,8,1.0
