phase,domain,layer_id,rank,expert_id,selections,probability
prefill,__all__,1,43,30,1413,0.012690400919672367
prefill,__all__,1,44,52,1361,0.012223379795947694
prefill,__all__,1,45,16,1351,0.012133568041385257
prefill,__all__,1,46,54,1333,0.011971906883172869
prefill,__all__,1,47,50,1327,0.011918019830435408
prefill,__all__,1,48,55,1271,0.01141507400488576
prefill,__all__,1,49,58,1226,0.011010921109354792
prefill,__all__,1,50,0,1210,0.010867222302054893
prefill,__all__,1,51,2,1202,0.010795372898404943
prefill,__all__,1,52,4,1165,0.010463069406523926
prefill,__all__,1,53,36,1117,0.010031972984624228
prefill,__all__,1,54,33,1009,0.009062006035349906
prefill,__all__,1,55,57,948,0.00851415433251904
prefill,__all__,1,56,6,919,0.008253700244287973
prefill,__all__,1,57,22,900,0.008083057910619341
prefill,__all__,1,58,46,896,0.008047133208794367
prefill,__all__,1,59,56,791,0.007104109785888777
prefill,__all__,1,60,28,783,0.007032260382238828
prefill,__all__,1,61,26,770,0.006915505101307659
prefill,__all__,1,62,38,754,0.00677180629400776
prefill,__all__,1,63,10,623,0.0055952723092398335
prefill,__all__,1,64,43,553,0.004966590027302774
prefill,__all__,2,1,40,5222,0.04689969823250467
prefill,__all__,2,2,60,3268,0.029350481391004456
prefill,__all__,2,3,34,3219,0.028910403793648513
prefill,__all__,2,4,5,3146,0.028254777985342722
prefill,__all__,2,5,45,3052,0.027410547492455813
prefill,__all__,2,6,14,2708,0.024321023135507977
prefill,__all__,2,7,61,2612,0.023458830291708577
prefill,__all__,2,8,16,2390,0.021465009340422475
prefill,__all__,2,9,22,2329,0.020917157637591607
prefill,__all__,2,10,9,2325,0.020881232935766634
prefill,__all__,2,11,58,2214,0.01988432246012358
prefill,__all__,2,12,35,2160,0.01939933898548642
prefill,__all__,2,13,38,2126,0.019093979019974134
prefill,__all__,2,14,4,2057,0.018474277913493316
prefill,__all__,2,15,24,1984,0.017818652105187526
prefill,__all__,2,16,29,1974,0.01772884035062509
prefill,__all__,2,17,57,1941,0.017432461560569046
prefill,__all__,2,18,62,1938,0.017405518034200314
prefill,__all__,2,19,63,1903,0.017091176893231787
prefill,__all__,2,20,32,1881,0.016893591033194426
prefill,__all__,2,21,26,1870,0.016794798103175742
prefill,__all__,2,22,59,1850,0.01661517459405087
prefill,__all__,2,23,23,1845,0.01657026871676965
prefill,__all__,2,24,10,1831,0.016444532260382238
prefill,__all__,2,25,30,1806,0.016220002873976146
prefill,__all__,2,26,28,1802,0.016184078172151173
prefill,__all__,2,27,15,1785,0.01603139818939503
prefill,__all__,2,28,46,1785,0.01603139818939503
prefill,__all__,2,29,47,1764,0.01584279350481391
prefill,__all__,2,30,12,1751,0.015726038223882743
