phase,domain,layer_id,num_experts,n_tokens,n_selections,entropy,normalized_entropy,gini,max_to_median,utilization_variance,top_1_coverage,top_2_coverage,top_4_coverage,top_8_coverage,top_16_coverage
prefill,__all__,0,64,13918,111344,4.071541555328742,0.9789988017743523,0.2023178168558701,4.19968992248062,714286.59375,0.060820520189682425,0.09848757005316856,0.15280571921253053,0.23657314269291566,0.38338841787613165
prefill,__all__,1,64,13918,111344,4.068699832379419,0.9783155118399243,0.23056978822388274,2.7054857493104505,600737.03125,0.03964290846385975,0.07668127604540882,0.14319586147434976,0.23700423911481536,0.3927108779997126
prefill,__all__,2,64,13918,111344,4.072362863935364,0.9791962847499878,0.22069358250107773,3.0744774801295263,570620.09375,0.04689969823250467,0.07625017962350912,0.13341536140250035,0.2300707716625952,0.3842685730708435
prefill,__all__,3,64,13918,111344,4.049837195617688,0.9737800064208844,0.2596777778775686,2.550093341630367,671842.0625,0.036804857019686735,0.07174162954447479,0.13557084351199886,0.23782152608133353,0.4119844805288116
prefill,__all__,4,64,13918,111344,4.023800279567217,0.9675194514765415,0.28799177548857596,3.570131180625631,920765.3125,0.04766309814628539,0.09114994970541744,0.1542337261100733,0.2639567466590027,0.4381466446328495
prefill,__all__,5,64,13918,111344,4.024988246033865,0.9678050970315707,0.28248042103750537,3.5924317617866004,937569.96875,0.05200998706710734,0.0944280787469464,0.16412200028739762,0.26120850696939213,0.4257256789768645
prefill,__all__,6,64,13918,111344,3.978532556254744,0.9566348648206684,0.3274328881664032,4.109552438209753,1224966.28125,0.05525219140681133,0.09555072567897686,0.16940293145566893,0.29434904440293147,0.46496443454519326
prefill,__all__,7,64,13918,111344,4.005766588191519,0.9631832652904345,0.3038129580399483,3.5639961698052987,1005833.0625,0.05014190257220865,0.09606265267998276,0.1554282224457537,0.2611995257939359,0.4402931455668918
prefill,__all__,8,64,13918,111344,4.013352412094641,0.9650072703781165,0.2958881933467452,3.6057571964956194,951603.03125,0.05174953297887627,0.0917157637591608,0.15246443454519326,0.2597086506681995,0.4324435982181348
prefill,__all__,9,64,13918,111344,4.0416726081751175,0.9718168381185008,0.2532166641220003,3.797452625038832,818956.5625,0.05489294438856158,0.09586506681994539,0.15519471188389136,0.2476559132059204,0.4069729846242276
prefill,__all__,10,64,13918,111344,4.073864803143648,0.9795574247912391,0.22809463240048858,3.029803424223209,562479.5,0.04291205632993246,0.076429803132634,0.13018213823825261,0.22965763759160798,0.39210015806868803
prefill,__all__,11,64,13918,111344,4.0231404392652355,0.9673607934213002,0.28386969661589306,3.4131775397598183,959045.9375,0.04722302054892944,0.09054821094984912,0.16562185658859033,0.2752730277338698,0.43710482827992525
prefill,__all__,12,64,13918,111344,4.032824064526383,0.9696892131116477,0.2789931990048858,3.100947402809539,838513.4375,0.042624658715332664,0.08324651530392298,0.1529404368443742,0.25508334530823396,0.4280338410691191
prefill,__all__,13,64,13918,111344,4.039234820540376,0.9712306740966038,0.2746940225786751,3.1923731699012596,790732.34375,0.04210375053887053,0.07595380083345309,0.14081584997844518,0.2532691478660727,0.4349403649949705
prefill,__all__,14,64,13918,111344,4.055968781434218,0.9752543411625998,0.2478880204591177,2.4643874643874644,638946.5625,0.03884358384825406,0.07533409972697226,0.13553491881017388,0.23365426066963643,0.39810856444891507
