capacity_experts_per_layer,lookahead_layers,requested_complete_cold_set_coverage,realized_complete_cold_set_coverage,eligible_cold_waves,incomplete_cold_waves,correlation_block_waves,mean_incomplete_run_waves,max_incomplete_run_waves,requested_predicted_to_useful_amplification,realized_predicted_to_useful_amplification,useful_predicted_objects,false_predicted_objects,predicted_objects,miss_generation,evidence_coverage,evidence_demand
8,1,0.999,0.9989968568180299,119624,120,4,4.0,4,1.25,1.2499995728576676,585285,146321,731606,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.999,0.9989968568180299,119624,120,4,4.0,4,1.5,1.4999991457153352,585285,292642,877927,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.999,0.9989968568180299,119624,120,4,4.0,4,2.0,2.0,585285,585285,1170570,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.999,0.9989968568180299,119624,120,4,4.0,4,4.0,4.0,585285,1755855,2341140,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,1,0.999,0.9989968568180299,119624,120,4,4.0,4,8.0,8.0,585285,4096995,4682280,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,1.0,1.0,270436,0,270436,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,1.25,1.25,270436,67609,338045,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,1.5,1.5,270436,135218,405654,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,2.0,2.0,270436,270436,540872,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,4.0,4.0,270436,811308,1081744,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.5,0.5000044797649019,111613,55806,4,7.941653621744699,56,8.0,8.0,270436,1893052,2163488,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,1.0,1.0,405641,0,405641,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,1.25,1.2499993836914907,405641,101410,507051,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,1.5,1.4999987673829815,405641,202820,608461,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,2.0,2.0,405641,405641,811282,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,4.0,4.0,405641,1216923,1622564,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.75,0.750002239882451,111613,27903,4,5.303744535259456,32,8.0,8.0,405641,2839487,3245128,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,1.0,1.0,486881,0,486881,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,1.25,1.2499994865275088,486881,121720,608601,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,1.5,1.4999989730550176,486881,243440,730321,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,2.0,2.0,486881,486881,973762,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,4.0,4.0,486881,1460643,1947524,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.9,0.9000026878589411,111613,11161,4,4.441305212892956,16,8.0,8.0,486881,3408167,3895048,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,1.0,1.0,513627,0,513627,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,1.25,1.250000486734537,513627,128407,642034,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,1.5,1.5000009734690738,513627,256814,770441,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,2.0,2.0,513627,513627,1027254,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,4.0,4.0,513627,1540881,2054508,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.95,0.9499968641645686,111613,5581,4,4.234446130500759,12,8.0,8.0,513627,3595389,4109016,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,1.0,1.0,535075,0,535075,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,1.25,1.2500004672242209,535075,133769,668844,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,1.5,1.5000009344484417,535075,267538,802613,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,2.0,2.0,535075,535075,1070150,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,4.0,4.0,535075,1605225,2140300,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.99,0.9900011647388745,111613,1116,4,4.058181818181819,8,8.0,8.0,535075,3745525,4280600,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,1.0,1.0,539963,0,539963,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,1.25,1.2500004629946866,539963,134991,674954,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,1.5,1.5000009259893734,539963,269982,809945,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,2.0,2.0,539963,539963,1079926,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,4.0,4.0,539963,1619889,2159852,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
8,2,0.999,0.9989965326619659,111613,112,4,4.0,4,8.0,8.0,539963,3779741,4319704,deterministic_block_correlated_wave_misses,assumed_predictor,trace_derived
