track,capacity_experts_per_layer,lookahead_layers,bandwidth_gbps,coverage,amplification,raw_cold_service_headroom,effective_headroom_after_amplification,first_order_stall_reduction,oracle_recovery,category,evidence_demand,evidence_predictor,evidence_hardware
AX2,8,1,24.1354255944,0.5,1.0,0.25149671026768977,0.25149671026768977,0.12574835513384489,0.5,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.5,1.25,0.25149671026768977,0.20119736821415182,0.10059868410707591,0.4,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.5,1.5,0.25149671026768977,0.16766447351179317,0.08383223675589659,0.3333333333333333,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.5,2.0,0.25149671026768977,0.12574835513384489,0.06287417756692244,0.25,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.5,4.0,0.25149671026768977,0.06287417756692244,0.03143708878346122,0.125,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.5,8.0,0.25149671026768977,0.03143708878346122,0.01571854439173061,0.0625,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,1.0,0.25149671026768977,0.25149671026768977,0.18862253270076734,0.75,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,1.25,0.25149671026768977,0.20119736821415182,0.15089802616061387,0.6000000000000001,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,1.5,0.25149671026768977,0.16766447351179317,0.12574835513384489,0.5,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,2.0,0.25149671026768977,0.12574835513384489,0.09431126635038367,0.375,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,4.0,0.25149671026768977,0.06287417756692244,0.047155633175191836,0.1875,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.75,8.0,0.25149671026768977,0.03143708878346122,0.023577816587595918,0.09375,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,1.0,0.25149671026768977,0.25149671026768977,0.2263470392409208,0.9,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,1.25,0.25149671026768977,0.20119736821415182,0.18107763139273664,0.72,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,1.5,0.25149671026768977,0.16766447351179317,0.15089802616061385,0.6,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,2.0,0.25149671026768977,0.12574835513384489,0.1131735196204604,0.45,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,4.0,0.25149671026768977,0.06287417756692244,0.0565867598102302,0.225,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.9,8.0,0.25149671026768977,0.03143708878346122,0.0282933799051151,0.1125,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.95,1.0,0.25149671026768977,0.25149671026768977,0.23892187475430526,0.95,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.95,1.25,0.25149671026768977,0.20119736821415182,0.19113749980344422,0.76,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.95,1.5,0.25149671026768977,0.16766447351179317,0.1592812498362035,0.6333333333333333,service_limited,trace_derived,assumed,measured_anchor
AX2,8,1,24.1354255944,0.95,2.0,0.25149671026768977,0.12574835513384489,0.11946093737715263,0.475,service_limited,trace_derived,assumed,measured_anchor
