anchor,archived_value,reproduced_value,absolute_difference,tolerance,passed
exact_12mib_transfer,0.5240960121154785,0.5241011926853979,5.180569919382982e-06,0.0001,True
h5_headroom_K16_D3,1.0579186615534435,1.0579186615534435,0.0,1e-09,True
h5_headroom_K32_D3,2.2424686033035406,2.2424686033035406,0.0,1e-09,True
h5_headroom_K16_D9,2.945982095726217,2.945982095726217,0.0,1e-09,True
