capacity_experts_per_layer,lookahead_layers,coverage,amplification,bandwidth_gbps,wave_local_p99_stall_ms,mean_queue_replay_stall_ms,p95_queue_replay_stall_ms,p99_queue_replay_stall_ms,queue_replay_p99_tpot_ms,evidence
16,3,0.999,1.0,24.1354255944,31.669800363762626,21.386226054960126,40.724049710815336,47.013264023049004,57.24223979590667,selected_trace_ordered_fcfs_sensitivity
16,9,0.99,1.5,24.1354255944,33.04100363385708,33.03241363456771,57.36876383633923,65.23028172663139,75.45925749948906,selected_trace_ordered_fcfs_sensitivity
32,3,0.99,1.5,24.1354255944,33.58773332117344,13.367145406608348,36.35276835599249,48.06146640842128,58.29044218127895,selected_trace_ordered_fcfs_sensitivity
16,3,0.99,1.5,64.0,7.335950762205981,7.734973427808841,17.52370457940242,20.912875750209476,31.141851523067142,selected_trace_ordered_fcfs_sensitivity
